Tournament,2013 Haru basho results - Makuuchi Division
Name,Rank,Record
Harumafuji,Y,9-6-0
Hakuho,Y,15-0-0*
Kisenosato,O,10-5-0
Kotooshu,O,1-5-9
Kakuryu,O,8-7-0
Kotoshogiku,O,8-7-0
Goeido,S,10-5-0
Baruto,S,9-6-0
Tochiozan,K,10-5-0
Aminishiki,K,7-8-0
Takayasu,M1,5-10-0
Tochinoshin,M1,7-8-0
Chiyotairyu,M2,3-4-8
Myogiryu,M2,8-7-0
Tokitenku,M3,5-10-0
Ikioi,M3,4-11-0
Toyonoshima,M4,7-8-0
Shohozan,M4,7-8-0
Aran,M5,8-7-0
Kaisei,M5,3-12-0
Gagamaru,M6,5-10-0
Kitataiki,M6,10-5-0
Okinoumi,M7,11-4-0
Toyohibiki,M7,6-9-0
Aoiyama,M8,9-6-0
Kyokutenho,M8,7-8-0
Fujiazuma,M9,8-7-0
Yoshikaze,M9,9-6-0
Takarafuji,M10,11-4-0
Tamawashi,M10,4-11-0
Takekaze,M11,9-6-0
Jokoryu,M11,9-6-0
Shotenro,M12,8-7-0
Masunoyama,M12,7-8-0
Tochinowaka,M13,0-7-8
Sadanofuji,M13,9-6-0
Chiyonokuni,M14,7-8-0
Sagatsukasa,M14,2-6-7
Daido,M15,8-7-0
Sotairyu,M15,4-11-0
Oiwato,M16,5-10-0
Wakanosato,M16,9-6-0
