Tournament,2013 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,12-3-0
Harumafuji,Y,15-0-0*
Kisenosato,O,10-5-0
Kakuryu,O,8-7-0
Kotooshu,O,10-5-0
Kotoshogiku,O,8-7-0
Goeido,S,8-7-0
Baruto,S,8-7-0
Tochiozan,K,8-7-0
Shohozan,K,4-11-0
Aminishiki,M1,9-6-0
Myogiryu,M1,7-8-0
Toyonoshima,M2,6-9-0
Kyokutenho,M2,4-11-0
Toyohibiki,M3,5-10-0
Kaisei,M3,6-9-0
Gagamaru,M4,6-9-0
Aran,M4,7-8-0
Homasho,M5,0-0-15
Ikioi,M5,8-7-0
Tochinoshin,M6,9-6-0
Aoiyama,M6,7-8-0
Takayasu,M7,12-3-0
Masunoyama,M7,4-11-0
Yoshikaze,M8,7-8-0
Chiyotairyu,M8,10-5-0
Tokitenku,M9,10-5-0
Takekaze,M9,6-9-0
Kitataiki,M10,8-7-0
Okinoumi,M10,8-7-0
Wakanosato,M11,4-11-0
Fujiazuma,M11,8-7-0
Sadanofuji,M12,7-8-0
Tamawashi,M12,8-7-0
Daido,M13,6-9-0
Asahisho,M13,4-11-0
Shotenro,M14,8-7-0
Takarafuji,M14,9-6-0
Tochinowaka,M15,8-7-0
Kotoyuki,M15,6-9-0
Miyabiyama,M16,3-12-0
Tamaasuka,M16,4-11-0
