Tournament,2013 Aki basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,14-1-0*
Harumafuji,Y,10-5-0
Kisenosato,O,11-4-0
Kakuryu,O,9-6-0
Kotoshogiku,O,10-5-0
Kotooshu,O,4-3-8
Myogiryu,S,6-9-0
Goeido,S,11-4-0
Tochiozan,K,8-7-0
Takayasu,K,5-10-0
Shohozan,M1,8-7-0
Ikioi,M1,5-10-0
Okinoumi,M2,8-7-0
Aoiyama,M2,6-9-0
Takarafuji,M3,5-10-0
Chiyotairyu,M3,6-9-0
Toyohibiki,M4,6-9-0
Kaisei,M4,7-8-0
Tokitenku,M5,5-10-0
Aminishiki,M5,9-6-0
Kitataiki,M6,6-9-0
Kyokutenho,M6,8-7-0
Aran,M7,3-12-0
Toyonoshima,M7,8-7-0
Fujiazuma,M8,6-9-0
Yoshikaze,M8,6-5-4
Gagamaru,M9,6-9-0
Kotoyuki,M9,7-8-0
Tokushoryu,M10,6-9-0
Shotenro,M10,5-10-0
Takekaze,M11,9-6-0
Tochinowaka,M11,9-6-0
Tenkaiho,M12,8-7-0
Sadanofuji,M12,8-7-0
Endo,M13,9-5-1
Homasho,M13,10-5-0
Masunoyama,M14,8-7-0
Jokoryu,M14,8-7-0
Wakanosato,M15,4-11-0
Tamaasuka,M15,7-8-0
Asahisho,M16,5-8-2
Tamawashi,M16,9-6-0
