Tournament,2013 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,13-2-0*
Harumafuji,Y,10-5-0
Kisenosato,O,11-4-0
Kotoshogiku,O,9-6-0
Kakuryu,O,10-5-0
Kotooshu,O,9-6-0
Myogiryu,S,8-7-0
Goeido,S,8-7-0
Shohozan,K,7-8-0
Tokitenku,K,4-11-0
Takekaze,M1,1-9-5
Takayasu,M1,9-6-0
Tochiozan,M2,10-5-0
Gagamaru,M2,3-12-0
Chiyotairyu,M3,7-8-0
Aminishiki,M3,6-9-0
Kyokutenho,M4,6-9-0
Fujiazuma,M4,5-10-0
Ikioi,M5,9-6-0
Toyonoshima,M5,6-9-0
Baruto,M6,0-0-15
Okinoumi,M6,9-6-0
Takarafuji,M7,9-6-0
Yoshikaze,M7,7-8-0
Toyohibiki,M8,9-6-0
Kitataiki,M8,8-7-0
Aoiyama,M9,10-5-0
Sadanofuji,M9,5-10-0
Aran,M10,8-7-0
Chiyonokuni,M10,2-4-9
Daido,M11,1-14-0
Tochinoshin,M11,3-3-9
Kaisei,M12,11-4-0
Kotoyuki,M12,8-7-0
Tamawashi,M13,5-10-0
Jokoryu,M13,6-9-0
Masunoyama,M14,7-8-0
Tamaasuka,M14,6-9-0
Wakanosato,M15,7-8-0
Sokokurai,M15,6-9-0
Tokushoryu,M16,9-6-0
Shotenro,M16,9-6-0
