Tournament,2013 Natsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,15-0-0*
Harumafuji,Y,11-4-0
Kisenosato,O,13-2-0
Kakuryu,O,10-5-0
Kotoshogiku,O,11-4-0
Kotooshu,O,8-7-0
Goeido,S,7-8-0
Baruto,S,3-5-7
Tochiozan,K,6-9-0
Okinoumi,K,4-11-0
Myogiryu,M1,11-4-0
Aminishiki,M1,6-9-0
Kitataiki,M2,4-11-0
Tochinoshin,M2,2-13-0
Takarafuji,M3,6-9-0
Aran,M3,4-11-0
Aoiyama,M4,5-10-0
Toyonoshima,M4,7-8-0
Shohozan,M5,8-7-0
Takayasu,M5,8-7-0
Yoshikaze,M6,7-8-0
Takekaze,M6,9-6-0
Fujiazuma,M7,8-7-0
Jokoryu,M7,4-11-0
Tokitenku,M8,10-5-0
Sadanofuji,M8,7-8-0
Kyokutenho,M9,9-6-0
Ikioi,M9,9-6-0
Chiyotairyu,M10,10-5-0
Toyohibiki,M10,8-7-0
Shotenro,M11,5-10-0
Gagamaru,M11,11-4-0
Wakanosato,M12,6-9-0
Kyokushuho,M12,5-5-5
Daido,M13,8-7-0
Masunoyama,M13,7-8-0
Kaisei,M14,8-7-0
Chiyootori,M14,6-9-0
Chiyonokuni,M15,9-6-0
Homarefuji,M15,5-10-0
Azumaryu,M16,6-9-0
Daikiho,M16,3-12-0
