Tournament,2014 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,14-1-0*
Kakuryu,Y,12-3-0
Harumafuji,Y,11-4-0
Kotoshogiku,O,6-9-0
Kisenosato,O,11-4-0
Goeido,O,5-10-0
Aoiyama,S,8-7-0
Ichinojo,S,8-7-0
Takekaze,K,2-13-0
Ikioi,K,6-9-0
Tochiozan,M1,8-7-0
Aminishiki,M1,6-9-0
Takarafuji,M2,8-7-0
Toyohibiki,M2,5-10-0
Takayasu,M3,10-5-0
Terunofuji,M3,8-7-0
Kaisei,M4,7-8-0
Yoshikaze,M4,4-8-3
Chiyootori,M5,6-9-0
Osunaarashi,M5,4-6-5
Toyonoshima,M6,8-7-0
Jokoryu,M6,8-7-0
Okinoumi,M7,8-7-0
Sadanoumi,M7,7-8-0
Tochinoshin,M8,11-4-0
Endo,M8,10-5-0
Chiyotairyu,M9,9-6-0
Tokushoryu,M9,4-11-0
Shohozan,M10,7-8-0
Tamawashi,M10,8-7-0
Myogiryu,M11,9-6-0
Kyokutenho,M11,10-5-0
Kitataiki,M12,3-12-0
Homarefuji,M12,8-7-0
Takanoiwa,M13,3-12-0
Arawashi,M13,8-7-0
Amuru,M14,5-10-0
Sokokurai,M14,9-6-0
Tochinowaka,M15,3-12-0
Kyokushuho,M15,9-6-0
Kotoyuki,M16,8-7-0
Chiyomaru,M16,8-7-0
