Tournament,2014 Aki basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,14-1-0*
Kakuryu,Y,11-4-0
Harumafuji,Y,3-2-10
Kotoshogiku,O,9-6-0
Kisenosato,O,9-6-0
Goeido,O,8-7-0
Myogiryu,S,0-0-15
Takekaze,S,7-8-0
Jokoryu,K,4-11-0
Chiyotairyu,K,1-10-4
Terunofuji,M1,6-9-0
Endo,M1,3-12-0
Takayasu,M2,7-8-0
Toyonoshima,M2,6-6-3
Aoiyama,M3,10-5-0
Yoshikaze,M3,7-8-0
Takarafuji,M4,8-7-0
Osunaarashi,M4,7-8-0
Toyohibiki,M5,8-7-0
Ikioi,M5,10-5-0
Aminishiki,M6,10-5-0
Kaisei,M6,8-7-0
Shohozan,M7,6-9-0
Chiyootori,M7,8-7-0
Tochiozan,M8,11-4-0
Arawashi,M8,5-10-0
Tamawashi,M9,7-8-0
Tochinowaka,M9,4-11-0
Ichinojo,M10,13-2-0
Kitataiki,M10,7-8-0
Chiyomaru,M11,4-11-0
Takanoiwa,M11,7-8-0
Sadanoumi,M12,8-7-0
Sadanofuji,M12,4-11-0
Homasho,M13,0-0-15
Sokokurai,M13,7-8-0
Kyokutenho,M14,8-7-0
Azumaryu,M14,0-0-15
Kyokushuho,M15,7-8-0
Okinoumi,M15,10-5-0
Tokitenku,M16,6-9-0
Kagamio,M16,6-9-0
