Tournament,2014 Natsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,14-1-0*
Harumafuji,Y,11-4-0
Kakuryu,Y,9-6-0
Kisenosato,O,13-2-0
Kotoshogiku,O,5-10-0
Goeido,S,8-7-0
Tochiozan,S,10-5-0
Yoshikaze,K,6-9-0
Chiyootori,K,5-10-0
Aoiyama,M1,8-7-0
Takekaze,M1,6-9-0
Chiyotairyu,M2,4-11-0
Takarafuji,M2,4-11-0
Aminishiki,M3,10-5-0
Kyokutenho,M3,3-12-0
Endo,M4,7-8-0
Toyonoshima,M4,4-9-2
Shohozan,M5,8-7-0
Ikioi,M5,11-4-0
Kaisei,M6,8-7-0
Tamawashi,M6,8-7-0
Homasho,M7,9-6-0
Tokushoryu,M7,6-9-0
Myogiryu,M8,8-7-0
Takayasu,M8,6-9-0
Terunofuji,M9,9-6-0
Okinoumi,M9,6-9-0
Osunaarashi,M10,10-5-0
Tochinowaka,M10,9-6-0
Toyohibiki,M11,8-7-0
Chiyomaru,M11,5-10-0
Takanoiwa,M12,3-12-0
Jokoryu,M12,9-6-0
Masunoyama,M13,4-11-0
Kitataiki,M13,9-6-0
Gagamaru,M14,7-8-0
Tokitenku,M14,7-8-0
Kyokushuho,M15,9-6-0
Sokokurai,M15,8-7-0
Arawashi,M16,7-8-0
Chiyonokuni,M16,0-2-13
Sadanoumi,M17,10-5-0
