Tournament,2014 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,13-2-0*
Harumafuji,Y,10-5-0
Kakuryu,Y,11-4-0
Kisenosato,O,9-6-0
Kotoshogiku,O,12-3-0
Goeido,S,12-3-0
Tochiozan,S,2-6-7
Aminishiki,K,3-12-0
Aoiyama,K,6-9-0
Ikioi,M1,5-10-0
Shohozan,M1,4-11-0
Homasho,M2,1-5-9
Yoshikaze,M2,7-8-0
Kaisei,M3,5-10-0
Osunaarashi,M3,7-8-0
Tamawashi,M4,3-12-0
Takekaze,M4,9-6-0
Chiyootori,M5,6-9-0
Endo,M5,8-7-0
Terunofuji,M6,9-6-0
Myogiryu,M6,11-4-0
Tochinowaka,M7,5-10-0
Jokoryu,M7,10-5-0
Chiyotairyu,M8,10-5-0
Toyohibiki,M8,8-7-0
Takarafuji,M9,9-6-0
Kitataiki,M9,6-9-0
Tokushoryu,M10,4-11-0
Toyonoshima,M10,10-5-0
Sadanoumi,M11,6-9-0
Takayasu,M11,11-4-0
Kyokutenho,M12,6-9-0
Kyokushuho,M12,6-9-0
Okinoumi,M13,6-8-1
Sokokurai,M13,7-8-0
Kagamio,M14,6-9-0
Azumaryu,M14,7-8-0
Gagamaru,M15,5-10-0
Tokitenku,M15,7-8-0
Wakanosato,M16,5-10-0
Chiyomaru,M16,8-7-0
Arawashi,M17,10-5-0
