Tournament,2014 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Harumafuji,Y,0-0-15
Hakuho,Y,14-1-0*
Kisenosato,O,7-8-0
Kakuryu,O,14-1-0
Kotoshogiku,O,9-6-0
Goeido,S,8-7-0
Kotooshu,S,8-7-0
Myogiryu,K,0-4-11
Tochiozan,K,11-4-0
Toyonoshima,M1,8-7-0
Okinoumi,M1,7-8-0
Chiyotairyu,M2,4-11-0
Ikioi,M2,6-9-0
Aoiyama,M3,6-9-0
Toyohibiki,M3,5-10-0
Aminishiki,M4,6-9-0
Takekaze,M4,6-9-0
Shohozan,M5,9-6-0
Kyokutenho,M5,6-9-0
Tamawashi,M6,8-7-0
Kaisei,M6,8-7-0
Takarafuji,M7,7-8-0
Homasho,M7,0-0-15
Kitataiki,M8,7-8-0
Tochinowaka,M8,9-6-0
Takayasu,M9,9-6-0
Fujiazuma,M9,5-10-0
Sadanofuji,M10,6-9-0
Endo,M10,11-4-0
Shotenro,M11,2-13-0
Yoshikaze,M11,10-5-0
Gagamaru,M12,8-7-0
Chiyootori,M12,10-5-0
Kyokushuho,M13,5-10-0
Tokitenku,M13,4-11-0
Kagamio,M14,6-9-0
Masunoyama,M14,7-8-0
Tokushoryu,M15,8-7-0
Takanoiwa,M15,7-8-0
Osunaarashi,M16,9-6-0
Satoyama,M16,7-8-0
Kotoyuki,M17,0-0-15
