Tournament,2009 Aki basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,14-1-0
Asashoryu,Y,14-1-0*
Kotooshu,O,9-6-0
Kotomitsuki,O,9-6-0
Harumafuji,O,9-6-0
Kaio,O,8-7-0
Chiyotaikai,O,2-9-4
Kisenosato,S,7-8-0
Kotoshogiku,S,6-9-0
Baruto,K,12-3-0
Aminishiki,K,7-8-0
Tochinoshin,M1,4-11-0
Miyabiyama,M1,4-11-0
Shotenro,M2,2-13-0
Kyokutenho,M2,5-10-0
Tamanoshima,M3,5-10-0
Kakuryu,M3,11-4-0
Toyonoshima,M4,7-8-0
Tokitenku,M4,8-7-0
Goeido,M5,10-5-0
Takekaze,M5,9-6-0
Asasekiryu,M6,6-9-0
Homasho,M6,7-8-0
Aran,M7,7-8-0
Takamisakari,M7,6-9-0
Iwakiyama,M8,8-7-0
Shimotori,M8,4-11-0
Mokonami,M9,5-10-0
Toyohibiki,M9,6-9-0
Tosayutaka,M10,6-9-0
Bushuyama,M10,10-5-0
Kakizoe,M11,9-6-0
Kasugao,M11,6-9-0
Tochiozan,M12,11-4-0
Tochinonada,M12,4-11-0
Tamaasuka,M13,6-9-0
Wakanosato,M13,10-5-0
Kokkai,M14,8-7-0
Hokutoriki,M14,11-4-0
Yoshikaze,M15,9-6-0
Futen'o,M15,5-10-0
Masatsukasa,M16,7-8-0
