Tournament,2009 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,14-1-0*
Asashoryu,Y,10-5-0
Harumafuji,O,9-6-0
Kotooshu,O,13-2-0
Kaio,O,8-7-0
Kotomitsuki,O,12-3-0
Chiyotaikai,O,8-7-0
Kakuryu,S,5-10-0
Kisenosato,S,9-6-0
Kyokutenho,K,6-9-0
Kotoshogiku,K,8-7-0
Aran,M1,4-11-0
Goeido,M1,5-10-0
Tochiozan,M2,2-13-0
Toyohibiki,M2,3-12-0
Iwakiyama,M3,5-10-0
Baruto,M3,11-4-0
Miyabiyama,M4,8-7-0
Takamisakari,M4,6-9-0
Aminishiki,M5,11-4-0
Tochinoshin,M5,9-6-0
Bushuyama,M6,5-10-0
Tamanoshima,M6,9-6-0
Toyonoshima,M7,8-7-0
Mokonami,M7,6-9-0
Kokkai,M8,5-10-0
Kakizoe,M8,6-9-0
Takekaze,M9,8-7-0
Tochinonada,M9,6-9-0
Shotenro,M10,11-4-0
Tokitenku,M10,9-6-0
Yamamotoyama,M11,4-7-4
Tamawashi,M11,5-10-0
Asasekiryu,M12,9-6-0
Yoshikaze,M12,6-9-0
Futen'o,M13,6-9-0
Dejima,M13,2-13-0
Shimotori,M14,9-6-0
Tosayutaka,M14,8-7-0
Homasho,M15,10-5-0
Kasugao,M15,8-7-0
Wakakoyu,M16,4-11-0
