Tournament,2009 Haru basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,11-4-0
Hakuho,Y,15-0-0*
Kotooshu,O,10-5-0
Chiyotaikai,O,2-13-0
Kaio,O,8-7-0
Harumafuji,O,10-5-0
Kotomitsuki,O,8-7-0
Baruto,S,8-7-0
Kisenosato,S,5-10-0
Goeido,K,9-6-0
Kyokutenho,K,6-9-0
Hokutoriki,M1,2-13-0
Kakuryu,M1,10-5-0
Kotoshogiku,M2,6-9-0
Tochiozan,M2,8-7-0
Miyabiyama,M3,4-11-0
Tokitenku,M3,5-10-0
Takekaze,M4,8-7-0
Yoshikaze,M4,7-8-0
Wakanosato,M5,6-6-3
Aminishiki,M5,9-6-0
Tamanoshima,M6,8-7-0
Toyonoshima,M6,8-7-0
Homasho,M7,11-4-0
Takamisakari,M7,6-9-0
Tochinonada,M8,8-7-0
Kokkai,M8,5-10-0
Dejima,M9,6-9-0
Futen'o,M9,7-8-0
Iwakiyama,M10,8-7-0
Tochinoshin,M10,6-9-0
Asasekiryu,M11,9-6-0
Aran,M11,10-5-0
Kakizoe,M12,7-8-0
Shotenro,M12,7-8-0
Chiyohakuho,M13,10-5-0
Yamamotoyama,M13,8-7-0
Tamawashi,M14,9-6-0
Shimotori,M14,8-7-0
Tosanoumi,M15,4-11-0
Kimurayama,M15,7-8-0
Toyozakura,M16,5-10-0
