Tournament,2009 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,11-4-0
Hakuho,Y,15-0-0*
Kotooshu,O,10-5-0
Kotomitsuki,O,8-7-0
Harumafuji,O,9-6-0
Kaio,O,8-7-0
Chiyotaikai,O,2-9-4
Baruto,S,9-6-0
Kakuryu,S,7-8-0
Kisenosato,K,6-9-0
Goeido,K,7-8-0
Takekaze,M1,6-9-0
Aminishiki,M1,5-10-0
Kotoshogiku,M2,10-5-0
Tokitenku,M2,5-10-0
Tochiozan,M3,5-10-0
Bushuyama,M3,6-9-0
Hokutoriki,M4,8-7-0
Iwakiyama,M4,2-13-0
Toyonoshima,M5,11-4-0
Kakizoe,M5,8-7-0
Wakanosato,M6,7-8-0
Kyokutenho,M6,8-7-0
Tamanoshima,M7,4-11-0
Homasho,M7,6-9-0
Aran,M8,7-8-0
Tochinoshin,M8,12-3-0
Yoshikaze,M9,10-5-0
Miyabiyama,M9,12-3-0
Asasekiryu,M10,8-7-0
Kokkai,M10,8-7-0
Tamawashi,M11,10-5-0
Takamisakari,M11,8-7-0
Shotenro,M12,9-6-0
Toyohibiki,M12,5-10-0
Tosayutaka,M13,8-7-0
Mokonami,M13,9-6-0
Kasugao,M14,3-12-0
Kimurayama,M14,4-11-0
Yamamotoyama,M15,2-12-1
Shimotori,M15,8-7-0
Tamaasuka,M16,3-5-7
