Tournament,2023 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,1-3-11
Takakeisho,O,0-0-15
Kirishima,O,6-7-2
Hoshoryu,S,12-3-0*
Daieisho,S,9-6-0
Wakamotoharu,S,9-6-0
Kotonowaka,K,11-4-0
Abi,K,6-9-0
Nishikigi,M1,10-5-0
Tobizaru,M1,9-6-0
Shodai,M2,6-9-0
Mitakeumi,M2,3-12-0
Midorifuji,M3,4-11-0
Meisei,M3,8-7-0
Asanoyama,M4,8-4-3
Ura,M4,7-8-0
Hiradoumi,M5,5-10-0
Onosho,M5,6-9-0
Hokuseiho,M6,5-10-0
Oho,M6,6-9-0
Takayasu,M7,7-8-0
Tamawashi,M7,8-7-0
Sadanoumi,M8,5-10-0
Nishikifuji,M8,5-10-0
Takanosho,M9,8-7-0
Hokutofuji,M9,12-3-0
Kinbozan,M10,7-8-0
Myogiryu,M10,6-9-0
Kotoeko,M11,8-7-0
Tsurugisho,M11,5-10-0
Chiyoshoma,M12,6-9-0
Wakatakakage,M12,0-0-15
Gonoyama,M13,10-5-0
Kotoshoho,M13,7-8-0
Daishoho,M14,6-9-0
Shonannoumi,M14,10-5-0
Ryuden,M15,10-5-0
Takarafuji,M15,9-6-0
Endo,M16,10-5-0
Bushozan,M16,3-12-0
Aoiyama,M17,9-6-0
Hakuoho,M17,11-4-0
