Tournament,2023 Haru basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,0-0-15
Takakeisho,O,3-4-8
Wakatakakage,S,7-7-1
Hoshoryu,S,10-5-0
Kiribayama,S,12-3-0*
Wakamotoharu,K,11-4-0
Kotonowaka,K,9-6-0
Daieisho,K,12-3-0
Tobizaru,K,6-9-0
Tamawashi,M1,3-12-0
Shodai,M1,10-5-0
Abi,M2,9-6-0
Ryuden,M2,2-13-0
Mitakeumi,M3,4-11-0
Nishikigi,M3,6-9-0
Onosho,M4,4-5-6
Meisei,M4,5-10-0
Kotoshoho,M5,6-9-0
Midorifuji,M5,10-5-0
Endo,M6,9-6-0
Sadanoumi,M6,6-9-0
Hokutofuji,M7,7-8-0
Takayasu,M7,10-5-0
Ichiyamamoto,M8,4-11-0
Ura,M8,9-6-0
Aoiyama,M9,6-9-0
Hiradoumi,M9,7-8-0
Myogiryu,M10,5-10-0
Nishikifuji,M10,10-5-0
Azumaryu,M11,4-11-0
Takanosho,M11,8-7-0
Kagayaki,M12,5-10-0
Takarafuji,M12,8-7-0
Daishoho,M13,8-7-0
Kotoeko,M13,8-7-0
Kinbozan,M14,11-4-0
Bushozan,M14,5-10-0
Hokuseiho,M15,9-6-0
Oho,M15,7-8-0
Chiyoshoma,M16,9-6-0
Tsurugisho,M16,8-7-0
Mitoryu,M17,8-7-0
