Tournament,2023 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,0-0-15
Takakeisho,O,9-6-0
Kirishima,O,13-2-0*
Hoshoryu,O,10-5-0
Daieisho,S,9-6-0
Wakamotoharu,S,6-9-0
Kotonowaka,S,11-4-0
Abi,K,6-9-0
Hokutofuji,K,5-10-0
Asanoyama,M1,4-4-7
Ura,M1,8-7-0
Shodai,M2,6-9-0
Meisei,M2,4-11-0
Takayasu,M3,10-5-0
Tobizaru,M3,7-8-0
Gonoyama,M4,8-7-0
Nishikigi,M4,7-8-0
Onosho,M5,3-12-0
Midorifuji,M5,9-6-0
Shonannoumi,M6,7-8-0
Takanosho,M6,5-6-4
Hokuseiho,M7,7-8-0
Kinbozan,M7,8-7-0
Endo,M8,5-10-0
Atamifuji,M8,11-4-0
Myogiryu,M9,6-9-0
Mitakeumi,M9,8-7-0
Ryuden,M10,10-5-0
Kotoeko,M10,2-8-5
Sadanoumi,M11,8-7-0
Hiradoumi,M11,9-6-0
Oho,M12,8-7-0
Tamawashi,M12,9-6-0
Takarafuji,M13,6-9-0
Tsurugisho,M13,9-6-0
Tomokaze,M14,7-8-0
Ichiyamamoto,M14,11-4-0
Tohakuryu,M15,5-10-0
Churanoumi,M15,9-6-0
Roga,M16,5-10-0
Nishikifuji,M16,6-9-0
Kitanowaka,M17,5-10-0
