Tournament,2023 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,0-0-15
Takakeisho,O,12-3-0*
Wakatakakage,S,9-6-0
Hoshoryu,S,8-7-0
Takayasu,S,1-5-9
Shodai,S,6-9-0
Kiribayama,K,11-4-0
Kotonowaka,K,8-7-0
Meisei,K,5-10-0
Wakamotoharu,K,9-6-0
Tobizaru,M1,8-7-0
Daieisho,M1,10-5-0
Mitakeumi,M2,7-8-0
Tamawashi,M2,9-6-0
Abi,M3,8-7-0
Midorifuji,M3,6-9-0
Nishikifuji,M4,4-11-0
Sadanoumi,M4,6-9-0
Ryuden,M5,9-6-0
Nishikigi,M5,9-6-0
Hokutofuji,M6,7-8-0
Myogiryu,M6,6-9-0
Ichinojo,M7,0-0-15
Ura,M7,7-8-0
Onosho,M8,10-5-0
Oho,M8,4-11-0
Takanosho,M9,6-9-0
Endo,M9,9-6-0
Aoiyama,M10,8-7-0
Hiradoumi,M10,8-7-0
Chiyoshoma,M11,5-10-0
Tochinoshin,M11,2-3-10
Kagayaki,M12,7-8-0
Okinoumi,M12,0-6-9
Kotoshoho,M13,11-4-0
Kotoeko,M13,7-8-0
Ichiyamamoto,M14,10-5-0
Azumaryu,M14,9-6-0
Tsurugisho,M15,7-8-0
Mitoryu,M15,7-8-0
Takarafuji,M16,8-7-0
Chiyomaru,M16,4-11-0
