Tournament,2023 Aki basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,0-0-15
Kirishima,O,9-6-0
Takakeisho,O,11-4-0*
Hoshoryu,O,8-7-0
Daieisho,S,10-5-0
Wakamotoharu,S,9-6-0
Kotonowaka,S,9-6-0
Nishikigi,K,5-10-0
Tobizaru,K,6-9-0
Hokutofuji,M1,8-7-0
Meisei,M1,7-8-0
Abi,M2,9-6-0
Asanoyama,M2,9-6-0
Shodai,M3,8-7-0
Tamawashi,M3,2-13-0
Takanosho,M4,6-9-0
Ura,M4,9-6-0
Gonoyama,M5,9-6-0
Shonannoumi,M5,7-8-0
Onosho,M6,9-6-0
Ryuden,M6,6-9-0
Takayasu,M7,10-5-0
Oho,M7,5-10-0
Kotoeko,M8,6-9-0
Hiradoumi,M8,6-9-0
Midorifuji,M9,10-5-0
Hakuoho,M9,0-0-15
Kinbozan,M10,9-6-0
Endo,M10,9-6-0
Mitakeumi,M11,9-6-0
Hokuseiho,M11,10-5-0
Takarafuji,M12,7-8-0
Sadanoumi,M12,8-7-0
Myogiryu,M13,10-5-0
Nishikifuji,M13,5-10-0
Aoiyama,M14,5-10-0
Kotoshoho,M14,5-10-0
Atamifuji,M15,11-4-0
Chiyoshoma,M15,3-12-0
Kagayaki,M16,5-10-0
Tsurugisho,M16,8-7-0
Daishoho,M17,3-12-0
