Tournament,1996 Aki basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,15-0-0*
Akebono,Y,10-5-0
Takanonami,O,9-6-0
Wakanohana,O,11-4-0
Musashimaru,O,11-4-0
Kaio,S,9-6-0
Takatoriki,S,11-4-0
Musoyama,K,7-8-0
Kotonowaka,K,4-11-0
Kotonishiki,K,10-5-0
Asahiyutaka,M1,9-6-0
Akinoshima,M1,7-8-0
Kenko,M2,4-11-0
Kotoinazuma,M2,4-11-0
Tamakasuga,M3,6-9-0
Kotobeppu,M3,3-12-0
Konishiki,M4,4-11-0
Kitakachidoki,M4,4-11-0
Asanowaka,M5,4-11-0
Daishoho,M5,8-7-0
Aogiyama,M6,6-9-0
Tosanoumi,M6,8-7-0
Minatofuji,M7,6-9-0
Daishi,M7,6-9-0
Mitoizumi,M8,8-7-0
Higonoumi,M8,7-8-0
Kyokudozan,M9,6-9-0
Rikio,M9,6-9-0
Asanosho,M10,8-7-0
Terao,M10,9-6-0
Oginishiki,M11,9-6-0
Naminohana,M11,7-8-0
Ganyu,M12,8-7-0
Hamanoshima,M12,9-6-0
Tochinowaka,M13,8-7-0
Kotoryu,M13,8-7-0
Misugisato,M14,7-8-0
Shikishima,M14,8-7-0
Kyokushuzan,M15,9-6-0
Daihisho,M15,8-7-0
