Tournament,1996 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,14-1-0
Akebono,Y,0-3-12
Wakanohana,O,0-4-11
Musashimaru,O,9-6-0
Takanonami,O,14-1-0*
Kaio,S,10-5-0
Kotonishiki,S,9-6-0
Tosanoumi,K,8-7-0
Musoyama,K,10-5-0
Takatoriki,M1,12-3-0
Mitoizumi,M1,3-12-0
Kotonowaka,M2,5-10-0
Kotoinazuma,M2,2-13-0
Misugisato,M3,6-9-0
Minatofuji,M3,4-11-0
Akinoshima,M4,9-6-0
Asahiyutaka,M4,6-9-0
Kenko,M5,8-7-0
Kotobeppu,M5,4-11-0
Tochinowaka,M6,6-9-0
Kitakachidoki,M6,5-10-0
Terao,M7,6-9-0
Asanosho,M7,6-9-0
Konishiki,M8,7-8-0
Daishoho,M8,7-8-0
Naminohana,M9,9-6-0
Hamanoshima,M9,6-9-0
Wakashoyo,M10,0-0-15
Kasugafuji,M10,6-9-0
Oginohana,M11,8-7-0
Aogiyama,M11,8-7-0
Oginishiki,M12,8-7-0
Asanowaka,M12,8-7-0
Kirishima,M13,7-8-0
Daishi,M13,8-7-0
Higonoumi,M14,9-6-0
Tomonohana,M14,7-8-0
Mainoumi,M15,9-6-0
Kyokudozan,M15,9-6-0
Tamakasuga,M16,10-5-0
