Tournament,1996 Natsu basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,14-1-0*
Akebono,Y,10-5-0
Wakanohana,O,12-3-0
Takanonami,O,12-3-0
Musashimaru,O,9-6-0
Musoyama,S,10-5-0
Kaio,S,11-4-0
Kotonishiki,S,4-11-0
Takatoriki,S,7-8-0
Kotonowaka,K,5-10-0
Asahiyutaka,K,8-7-0
Misugisato,M1,4-11-0
Tosanoumi,M1,5-10-0
Akinoshima,M2,5-10-0
Minatofuji,M2,6-9-0
Terao,M3,5-10-0
Naminohana,M3,7-8-0
Kitakachidoki,M4,4-11-0
Daishoho,M4,10-5-0
Asanosho,M5,6-9-0
Kenko,M5,6-9-0
Tamakasuga,M6,9-6-0
Kotoinazuma,M6,7-8-0
Kotobeppu,M7,6-9-0
Aogiyama,M7,8-7-0
Ganyu,M8,6-9-0
Hamanoshima,M8,6-9-0
Higonoumi,M9,6-9-0
Mainoumi,M9,7-8-0
Mitoizumi,M10,9-6-0
Kasugafuji,M10,2-13-0
Daishi,M11,10-5-0
Oginohana,M11,4-11-0
Asanowaka,M12,9-6-0
Tochinowaka,M12,9-6-0
Oginishiki,M13,8-7-0
Kyokudozan,M13,9-6-0
Konishiki,M14,10-5-0
Wakashoyo,M14,4-11-0
Shikishima,M15,10-5-0
