date,name,venue,city,state,time,id
"Sunday, August 23, 2026",Phoenix Card Show,Renaissance Phoenix Glendale Hotel & Conference Center,Glendale,AZ,10:00 AM - 6:00 PM,23609
"Friday, August 28, 2026",Tucson Trading Card Fest,Tucson Marriott University Park,Tucson,AZ,5:00 PM - 10:00 PM,26231
"Saturday, August 29, 2026",The Arizona Hobby Expo,Glendale Civic Center,Glendale,AZ,10:00 AM - 5:00 PM,23959
"Saturday, August 29, 2026",Tucson Trading Card Fest,Tucson Marriott University Park,Tucson,AZ,10:00 AM - 7:00 PM,26232
"Sunday, August 30, 2026",The Arizona Hobby Expo,Glendale Civic Center,Glendale,AZ,10:00 AM - 5:00 PM,23960
"Sunday, August 30, 2026",Tucson Trading Card Fest,Tucson Marriott University Park,Tucson,AZ,10:00 AM - 6:00 PM,26233
"Saturday, September 5, 2026",Phoenix VIP Sports Card Show,VFW Phoenix,Phoenix,AZ,8:00 AM - 1:00 PM,12223
"Saturday, September 5, 2026",Sports Cards and Collectible Show,University Presbyterian Church,Tempe,AZ,10:00 AM - 3:00 PM,20334
"Friday, September 18, 2026",Card Show-3 Day Event,Glendale Civic Center,Glendale,AZ,1:00 PM - 8:00 PM,26031
"Saturday, September 19, 2026",Card Show-3 Day Event,Glendale Civic Center,Glendale,AZ,10:00 AM - 8:00 PM,26032
"Saturday, September 19, 2026",Northwest Valley Coin & Card Show,DoubleTree by Hilton Phoenix North,Phoenix,AZ,9:00 AM - 2:30 PM,20709
"Saturday, September 19, 2026",Sports Cards and Collectible Show,Doubletree By Hilton,Phoenix,AZ,9:00 AM - 2:00 PM,19667
"Sunday, September 20, 2026",Card Show-3 Day Event,Glendale Civic Center,Glendale,AZ,10:00 AM - 5:00 PM,26033
"Sunday, September 20, 2026",Diamond in the Ruff Sportscard and Collectibles Show,Sun City West Foundation,Sun City West,AZ,1:00 PM - 5:00 PM,19202
"Saturday, October 3, 2026",Overtime Sports Collectible Card Show,Encore Tucson,Tucson,AZ,10:00 AM - 5:00 PM,21583
"Saturday, October 3, 2026",Phoenix VIP Sports Card Show,VFW Phoenix,Phoenix,AZ,8:00 AM - 1:00 PM,12224
"Saturday, October 3, 2026",Sports Cards and Collectible Show,University Presbyterian Church,Tempe,AZ,10:00 AM - 3:00 PM,20335
"Sunday, October 18, 2026",Diamond in the Ruff Sportscard and Collectibles Show,Sun City West Foundation,Sun City West,AZ,1:00 PM - 5:00 PM,19203
