Country,League
Invitational tournaments,Uli Hoeneß Cup
Invitational tournaments,Vodacom Challenge
Invitational tournaments,Wembley Cup
Invitational tournaments,Wembley International Tournament
Invitational tournaments,World Football Challenge
Invitational tournaments,Arab Club Champions Cup
Invitational tournaments,Arab Cup Winners' Cup
Invitational tournaments,Arab Super Cup
Invitational tournaments,J.League Cup / Copa Sudamericana Championship
Invitational tournaments,Lusail Super Cup
Invitational tournaments,Saudi-Egyptian Super Cup
Invitational tournaments,Alkass International Cup
Invitational tournaments,Balcom BMW CUP Prayer for Peace; Hiroshima International Youth Soccer Games
Invitational tournaments,Dallas Cup
Invitational tournaments,Gothia Cup
Invitational tournaments,J.League International Youth Cup
Invitational tournaments,K League International Youth Cup
Invitational tournaments,Manchester United Premier Cup
Invitational tournaments,Montaigu Tournament
Invitational tournaments,Otten Cup
Invitational tournaments,Torneo di Viareggio
Invitational tournaments,AFC
Invitational tournaments,AFC
Invitational tournaments,AFC Asian Cup
Invitational tournaments,AFC Nations League
Invitational tournaments,AFC U23 Asian Cup
Invitational tournaments,AFC U20 Asian Cup
Invitational tournaments,AFC U17 Asian Cup
Invitational tournaments,AFC Women's Asian Cup
Invitational tournaments,AFC Women's Olympic Qualifying Tournament
Invitational tournaments,AFC U20 Women's Asian Cup
Invitational tournaments,AFC U17 Women's Asian Cup
Invitational tournaments,Asian Games
Invitational tournaments,AFC Solidarity Cup
Invitational tournaments,AFC Challenge Cup
Invitational tournaments,ASEAN Championship
Invitational tournaments,CAFA Nations Cup
Invitational tournaments,EAFF E-1 Football Championship
Invitational tournaments,women
Invitational tournaments,SAFF Championship
Invitational tournaments,WAFF Championship
Invitational tournaments,AFF–EAFF Champions Trophy
Invitational tournaments,Arabian Gulf Cup
Invitational tournaments,Gulf Cup for Veteran Players
Invitational tournaments,East Asian Youth Games
Invitational tournaments,South Asian Games
Invitational tournaments,Southeast Asian Games
Invitational tournaments,West Asian Games
Invitational tournaments,East Asian Games
Invitational tournaments,Three Nations Cup
Invitational tournaments,Three Nations Cup
Invitational tournaments,AFC Champions League Elite
