Tournament,1998 Haru basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,13-2-0
Takanohana,Y,1-4-10
Musashimaru,O,8-7-0
Takanonami,O,8-7-0
Wakanohana,O,14-1-0*
Tochiazuma,S,2-4-9
Musoyama,S,9-6-0
Kotonishiki,K,6-9-0
Kaio,K,8-7-0
Chiyotaikai,M1,8-7-0
Shikishima,M1,3-12-0
Dejima,M2,0-0-15
Akinoshima,M2,9-6-0
Tochinonada,M3,9-6-0
Ganyu,M3,3-12-0
Kotonowaka,M4,8-7-0
Takatoriki,M4,7-8-0
Kotoryu,M5,4-11-0
Tochinowaka,M5,5-10-0
Tosanoumi,M6,10-5-0
Wakanojo,M6,5-10-0
Kyokushuzan,M7,4-11-0
Aogiyama,M7,11-4-0
Terao,M8,5-10-0
Oginishiki,M8,9-6-0
Minatofuji,M9,8-7-0
Tamakasuga,M9,8-7-0
Kotoinazuma,M10,6-9-0
Mainoumi,M10,5-10-0
Asahiyutaka,M11,8-7-0
Asanosho,M11,7-8-0
Kyokutenho,M12,6-9-0
Hamanoshima,M12,8-7-0
Kitakachidoki,M13,8-7-0
Gojoro,M13,9-6-0
Higonoumi,M14,9-6-0
Mitoizumi,M14,9-6-0
Akinoshu,M15,8-7-0
Asanowaka,M15,8-7-0
Yamato,M16,0-0-15
