Tournament,1998 Natsu basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,10-5-0
Takanohana,Y,10-5-0
Wakanohana,O,12-3-0*
Musashimaru,O,10-5-0
Takanonami,O,11-4-0
Musoyama,S,5-10-0
Kaio,S,7-8-0
Chiyotaikai,K,8-7-0
Akinoshima,K,10-5-0
Tochinonada,M1,7-8-0
Aogiyama,M1,3-12-0
Kotonishiki,M2,11-4-0
Tosanoumi,M2,4-11-0
Kotonowaka,M3,4-11-0
Oginishiki,M3,8-7-0
Minatofuji,M4,4-11-0
Tamakasuga,M4,4-11-0
Takatoriki,M5,9-6-0
Tochiazuma,M5,0-0-15
Shikishima,M6,8-7-0
Asahiyutaka,M6,7-8-0
Gojoro,M7,9-6-0
Tochinowaka,M7,8-7-0
Ganyu,M8,8-7-0
Hamanoshima,M8,8-7-0
Higonoumi,M9,8-7-0
Wakanojo,M9,8-7-0
Mitoizumi,M10,6-9-0
Kotoryu,M10,6-9-0
Kitakachidoki,M11,5-10-0
Dejima,M11,10-5-0
Akinoshu,M12,2-13-0
Terao,M12,9-6-0
Asanowaka,M13,7-8-0
Kyokushuzan,M13,9-6-0
Asanosho,M14,8-7-0
Kotoinazuma,M14,8-7-0
Toki,M15,7-8-0
Wakanosato,M15,10-5-0
Kaiho,M16,8-7-0
