Tournament,1998 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,12-3-0
Wakanohana,Y,9-6-0
Akebono,Y,0-0-15
Musashimaru,O,11-4-0
Takanonami,O,8-7-0
Chiyotaikai,S,10-5-0
Takatoriki,S,5-10-0
Musoyama,K,9-6-0
Dejima,K,9-6-0
Kotonowaka,K,10-5-0
Tochiazuma,M1,10-5-0
Kaio,M1,8-7-0
Higonoumi,M2,4-11-0
Kaiho,M2,3-12-0
Tochinowaka,M3,5-10-0
Ganyu,M3,3-12-0
Toki,M4,7-8-0
Tamakasuga,M4,8-7-0
Hamanoshima,M5,3-12-0
Akinoshima,M5,8-7-0
Wakanosato,M6,7-7-1
Tochinonada,M6,6-9-0
Aogiyama,M7,8-7-0
Shikishima,M7,7-8-0
Wakanojo,M8,6-9-0
Oginishiki,M8,6-9-0
Tosanoumi,M9,12-3-0
Minatofuji,M9,8-7-0
Asahiyutaka,M10,6-9-0
Asanosho,M10,6-9-0
Kotoryu,M11,8-7-0
Terao,M11,8-7-0
Kyokushuzan,M12,8-7-0
Kotonishiki,M12,14-1-0*
Tokitsuumi,M13,9-6-0
Gojoro,M13,8-7-0
Akinoshu,M14,4-11-0
Mitoizumi,M14,8-7-0
Asanowaka,M15,6-9-0
Oikari,M15,5-10-0
