Tournament,1998 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,8-5-2
Akebono,Y,10-5-0
Takanonami,O,10-5-0
Musashimaru,O,12-3-0*
Wakanohana,O,10-5-0
Musoyama,S,10-5-0
Tochiazuma,S,11-4-0
Kaio,K,8-7-0
Kotonishiki,K,10-5-0
Takatoriki,M1,5-10-0
Akinoshima,M1,6-9-0
Dejima,M2,0-0-15
Tochinonada,M2,7-8-0
Tosanoumi,M3,5-10-0
Kotonowaka,M3,7-8-0
Kyokushuzan,M4,5-10-0
Asahiyutaka,M4,3-12-0
Oginishiki,M5,5-10-0
Aogiyama,M5,6-9-0
Minatofuji,M6,6-9-0
Tamakasuga,M6,6-9-0
Shikishima,M7,8-7-0
Hamanoshima,M7,5-10-0
Chiyotaikai,M8,9-6-0
Higonoumi,M8,5-10-0
Ganyu,M9,6-9-0
Akinoshu,M9,7-8-0
Mitoizumi,M10,6-9-0
Kitakachidoki,M10,7-8-0
Kotoryu,M11,9-6-0
Kotoinazuma,M11,8-7-0
Asanowaka,M12,7-8-0
Tochinowaka,M12,9-6-0
Wakanojo,M13,9-6-0
Terao,M13,9-6-0
Yamato,M14,7-8-0
Mainoumi,M14,9-6-0
Asanosho,M15,9-6-0
Kyokutenho,M15,9-6-0
Gojoro,M16,9-6-0
