Tournament,1998 Aki basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,13-2-0*
Akebono,Y,10-5-0
Wakanohana,Y,12-3-0
Musashimaru,O,11-4-0
Takanonami,O,10-5-0
Chiyotaikai,S,9-6-0
Takatoriki,S,8-7-0
Musoyama,K,8-7-0
Dejima,K,8-7-0
Kaio,M1,7-8-0
Tochiazuma,M1,8-7-0
Kotonowaka,M2,9-6-0
Minatofuji,M2,3-12-0
Asahiyutaka,M3,3-12-0
Tamakasuga,M3,6-9-0
Aogiyama,M4,5-10-0
Wakanosato,M4,6-9-0
Kyokushuzan,M5,4-11-0
Akinoshima,M5,0-0-15
Tochinonada,M6,7-8-0
Kotoryu,M6,5-10-0
Kotonishiki,M7,5-10-0
Shikishima,M7,0-0-15
Mitoizumi,M8,5-10-0
Oginishiki,M8,0-0-15
Tosanoumi,M9,0-0-15
Gojoro,M9,6-9-0
Kaiho,M10,8-7-0
Higonoumi,M10,9-6-0
Tochinowaka,M11,8-7-0
Ganyu,M11,8-7-0
Hamanoshima,M12,8-7-0
Asanowaka,M12,7-8-0
Wakanojo,M13,8-7-0
Asanosho,M13,8-7-0
Kotoinazuma,M14,4-11-0
Tokitsuumi,M14,8-7-0
Toki,M15,10-5-0
Akinoshu,M15,8-7-0
Terao,M16,9-6-0
