Tournament,1998 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,11-4-0
Takanohana,Y,14-1-0*
Wakanohana,Y,10-5-0
Takanonami,O,9-6-0
Musashimaru,O,12-3-0
Akinoshima,S,3-4-8
Chiyotaikai,S,11-4-0
Kotonishiki,K,1-2-12
Kaio,K,7-8-0
Oginishiki,M1,2-9-4
Takatoriki,M1,10-5-0
Musoyama,M2,9-6-0
Tochinonada,M2,5-10-0
Gojoro,M3,3-12-0
Shikishima,M3,4-9-2
Tochinowaka,M4,3-12-0
Dejima,M4,10-5-0
Ganyu,M5,3-12-0
Tochiazuma,M5,8-7-0
Hamanoshima,M6,4-11-0
Higonoumi,M6,6-9-0
Tosanoumi,M7,7-7-1
Wakanojo,M7,4-11-0
Asahiyutaka,M8,8-7-0
Aogiyama,M8,8-7-0
Terao,M9,4-11-0
Kotonowaka,M9,11-4-0
Minatofuji,M10,9-6-0
Tamakasuga,M10,9-6-0
Wakanosato,M11,9-6-0
Kyokushuzan,M11,9-6-0
Asanosho,M12,7-8-0
Kotoinazuma,M12,7-8-0
Mitoizumi,M13,8-7-0
Kotoryu,M13,9-6-0
Kaiho,M14,8-7-0
Dewaarashi,M14,6-9-0
Kinkaiyama,M15,7-8-0
Kyokutenho,M15,4-11-0
Asanowaka,M16,8-7-0
