Tournament,1999 Natsu basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,0-0-15
Wakanohana,Y,3-5-7
Akebono,Y,11-4-0
Musashimaru,O,13-2-0*
Takanonami,O,9-6-0
Chiyotaikai,O,0-0-15
Akinoshima,S,6-9-0
Kaio,S,12-3-0
Dejima,S,11-4-0
Tochiazuma,K,10-5-0
Takatoriki,K,5-10-0
Tosanoumi,M1,8-7-0
Kotonowaka,M1,2-13-0
Tochinonada,M2,3-9-3
Miyabiyama,M2,6-9-0
Chiyotenzan,M3,9-6-0
Kotonishiki,M3,9-6-0
Kyokushuzan,M4,5-10-0
Aogiyama,M4,7-8-0
Tochinowaka,M5,5-10-0
Tamakasuga,M5,7-8-0
Musoyama,M6,0-0-15
Tokitsuumi,M6,4-11-0
Higonoumi,M7,8-7-0
Terao,M7,6-9-0
Toki,M8,9-6-0
Kotoryu,M8,5-10-0
Minatofuji,M9,8-7-0
Ohinode,M9,6-9-0
Kaiho,M10,8-7-0
Wakanosato,M10,11-4-0
Daizen,M11,7-8-0
Shikishima,M11,8-7-0
Ganyu,M12,7-7-1
Wakanojo,M12,8-7-0
Asanosho,M13,9-6-0
Hamanoshima,M13,9-6-0
Oginishiki,M14,5-10-0
Kyokutenho,M14,9-6-0
Yotsukasa,M15,9-6-0
