Tournament,1999 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,13-2-0
Musashimaru,Y,12-3-0
Wakanohana,Y,0-0-15
Takanohana,Y,9-6-0
Takanonami,O,8-7-0
Chiyotaikai,O,10-5-0
Kaio,S,8-7-0
Dejima,S,13-2-0*
Tochiazuma,S,6-9-0
Tosanoumi,K,11-4-0
Chiyotenzan,K,3-12-0
Kotonishiki,M1,8-7-0
Akinoshima,M1,6-9-0
Wakanosato,M2,4-11-0
Toki,M2,7-8-0
Takatoriki,M3,4-11-0
Higonoumi,M3,2-13-0
Miyabiyama,M4,7-8-0
Minatofuji,M4,7-8-0
Aogiyama,M5,5-10-0
Kaiho,M5,5-10-0
Musoyama,M6,11-4-0
Tamakasuga,M6,9-6-0
Kyokushuzan,M7,9-6-0
Shikishima,M7,8-7-0
Tochinonada,M8,0-0-15
Asanosho,M8,9-6-0
Hamanoshima,M9,6-9-0
Tochinowaka,M9,2-8-5
Kotonowaka,M10,9-6-0
Kyokutenho,M10,7-8-0
Wakanojo,M11,3-12-0
Terao,M11,8-7-0
Yotsukasa,M12,7-8-0
Daizen,M12,5-10-0
Tokitsuumi,M13,8-7-0
Wakanoyama,M13,8-7-0
Ohinode,M14,7-8-0
Ganyu,M14,9-6-0
Kotoryu,M15,9-6-0
