Tournament,1999 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Musashimaru,Y,12-3-0*
Wakanohana,Y,0-0-15
Akebono,Y,0-0-15
Takanohana,Y,11-4-0
Chiyotaikai,O,9-6-0
Dejima,O,10-5-0
Takanonami,O,6-9-0
Kaio,S,11-4-0
Tochiazuma,S,10-5-0
Musoyama,K,10-5-0
Akinoshima,K,3-12-0
Tosanoumi,K,10-5-0
Tamakasuga,M1,3-12-0
Miyabiyama,M1,8-7-0
Takatoriki,M2,2-13-0
Kotonishiki,M2,7-8-0
Kyokushuzan,M3,5-10-0
Asanosho,M3,4-11-0
Terao,M4,5-10-0
Aogiyama,M4,6-9-0
Kotonowaka,M5,8-7-0
Toki,M5,9-6-0
Wakanoyama,M6,7-8-0
Kotoryu,M6,9-6-0
Minatofuji,M7,7-8-0
Higonoumi,M7,8-7-0
Kyokutenho,M8,6-9-0
Chiyotenzan,M8,7-8-0
Asanowaka,M9,9-6-0
Wakanosato,M9,5-7-3
Hamanoshima,M10,8-7-0
Shikishima,M10,8-7-0
Kaiho,M11,8-7-0
Otsukasa,M11,8-7-0
Tokitsuumi,M12,8-7-0
Tochinonada,M12,10-5-0
Ohinode,M13,8-7-0
Daizen,M13,7-8-0
Ganyu,M14,0-10-5
Takanowaka,M14,9-6-0
