Tournament,1999 Haru basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,5-5-5
Wakanohana,Y,8-3-4
Akebono,Y,0-0-15
Musashimaru,O,13-2-0*
Chiyotaikai,O,3-8-4
Takanonami,O,12-3-0
Musoyama,S,1-2-12
Kotonowaka,S,6-9-0
Tochiazuma,K,8-7-0
Dejima,K,9-6-0
Akinoshima,K,11-4-0
Kaio,K,10-5-0
Takatoriki,M1,8-7-0
Kotonishiki,M1,6-9-0
Tosanoumi,M2,8-7-0
Shikishima,M2,1-14-0
Kyokushuzan,M3,7-8-0
Terao,M3,5-10-0
Higonoumi,M4,6-9-0
Tamakasuga,M4,7-8-0
Toki,M5,6-9-0
Tochinonada,M5,9-6-0
Minatofuji,M6,6-9-0
Wakanosato,M6,5-10-0
Miyabiyama,M7,9-6-0
Ganyu,M7,5-10-0
Aogiyama,M8,8-7-0
Tochinowaka,M8,8-7-0
Chiyotenzan,M9,9-6-0
Hamanoshima,M9,6-9-0
Mitoizumi,M10,5-10-0
Kotoryu,M10,8-7-0
Oginishiki,M11,7-8-0
Tokitsuumi,M11,9-6-0
Gojoro,M12,6-9-0
Kaiho,M12,8-7-0
Asanowaka,M13,6-9-0
Ohinode,M13,9-6-0
Wakanojo,M14,8-7-0
Asanosho,M14,8-7-0
