Tournament,1999 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,8-7-0
Wakanohana,Y,13-2-0
Akebono,Y,0-0-15
Musashimaru,O,8-7-0
Takanonami,O,6-9-0
Chiyotaikai,S,13-2-0*
Kotonowaka,S,8-7-0
Musoyama,S,10-5-0
Dejima,K,8-7-0
Tochiazuma,K,9-6-0
Kotonishiki,K,6-9-0
Kaio,M1,9-6-0
Tosanoumi,M1,7-8-0
Takatoriki,M2,8-7-0
Tamakasuga,M2,5-10-0
Akinoshima,M3,11-4-0
Aogiyama,M3,4-11-0
Minatofuji,M4,5-10-0
Toki,M4,7-8-0
Tokitsuumi,M5,4-11-0
Kotoryu,M5,5-10-0
Tochinowaka,M6,6-9-0
Wakanosato,M6,0-0-15
Terao,M7,8-7-0
Higonoumi,M7,8-7-0
Shikishima,M8,9-6-0
Kyokushuzan,M8,9-6-0
Tochinonada,M9,8-7-0
Kaiho,M9,6-9-0
Gojoro,M10,7-8-0
Ganyu,M10,8-7-0
Wakanojo,M11,6-9-0
Mitoizumi,M11,8-7-0
Oginishiki,M12,8-7-0
Hamanoshima,M12,6-9-0
Asahiyutaka,M13,4-9-0
Asanosho,M13,6-9-0
Chiyotenzan,M14,10-5-0
Kinkaiyama,M14,4-11-0
Dewaarashi,M15,4-8-3
