Tournament,1999 Aki basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,2-2-11
Musashimaru,Y,12-3-0*
Takanohana,Y,0-3-12
Wakanohana,Y,7-8-0
Chiyotaikai,O,10-5-0
Takanonami,O,3-4-8
Dejima,O,10-5-0
Kaio,S,9-6-0
Tosanoumi,S,7-8-0
Kotonishiki,K,5-10-0
Musoyama,K,8-7-0
Tochiazuma,M1,10-5-0
Tamakasuga,M1,8-7-0
Kyokushuzan,M2,7-8-0
Asanosho,M2,7-8-0
Toki,M3,6-9-0
Akinoshima,M3,11-4-0
Shikishima,M4,3-12-0
Kotonowaka,M4,7-8-0
Miyabiyama,M5,10-5-0
Minatofuji,M5,6-9-0
Chiyotenzan,M6,6-9-0
Wakanosato,M6,6-9-0
Takatoriki,M7,9-6-0
Terao,M7,8-7-0
Tochinonada,M8,5-10-0
Aogiyama,M8,8-7-0
Kaiho,M9,7-8-0
Ganyu,M9,5-10-0
Tokitsuumi,M10,7-8-0
Kotoryu,M10,8-7-0
Wakanoyama,M11,9-6-0
Higonoumi,M11,8-7-0
Kyokutenho,M12,8-7-0
Hamanoshima,M12,8-7-0
Kinkaiyama,M13,6-9-0
Yotsukasa,M13,0-3-12
Otsukasa,M14,8-7-0
Asanowaka,M14,9-6-0
Ohinode,M15,8-7-0
