Tournament,1997 Aki basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,13-2-0*
Akebono,Y,9-6-0
Musashimaru,O,13-2-0
Takanonami,O,12-3-0
Wakanohana,O,12-3-0
Tosanoumi,S,5-10-0
Tochiazuma,S,10-5-0
Takatoriki,S,9-6-0
Musoyama,K,0-3-12
Kaio,K,0-0-15
Tamakasuga,K,6-9-0
Dejima,M1,11-4-0
Ganyu,M1,3-12-0
Tochinonada,M2,9-6-0
Konishiki,M2,0-11-4
Oginishiki,M3,0-0-15
Kyokushuzan,M3,3-12-0
Aogiyama,M4,3-12-0
Rikio,M4,0-0-15
Akinoshima,M5,8-7-0
Kotoinazuma,M5,6-9-0
Mitoizumi,M6,5-10-0
Kotonowaka,M6,6-9-0
Shikishima,M7,6-9-0
Asahiyutaka,M7,8-7-0
Asanosho,M8,4-7-4
Terao,M8,7-8-0
Minatofuji,M9,7-8-0
Kotonishiki,M9,8-7-0
Asanowaka,M10,7-8-0
Hamanoshima,M10,9-6-0
Tochinowaka,M11,8-7-0
Chiyotaikai,M11,8-7-0
Kotoryu,M12,7-8-0
Higonoumi,M12,8-7-0
Wakanojo,M13,8-7-0
Kushimaumi,M13,7-8-0
Mainoumi,M14,8-7-0
Kitakachidoki,M14,8-7-0
Akinoshu,M15,8-7-0
