Tournament,1997 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,12-3-0
Takanohana,Y,13-2-0
Wakanohana,O,14-1-0*
Musashimaru,O,12-3-0
Takanonami,O,6-9-0
Kaio,S,6-9-0
Kotonishiki,S,4-11-0
Musoyama,K,8-7-0
Akinoshima,K,6-9-0
Tosanoumi,M1,9-6-0
Takatoriki,M1,11-4-0
Tamakasuga,M2,5-10-0
Kenko,M2,6-9-0
Asahiyutaka,M3,4-11-0
Kyokushuzan,M3,9-6-0
Tochinowaka,M4,4-11-0
Higonoumi,M4,5-10-0
Asanowaka,M5,5-10-0
Kitakachidoki,M5,6-9-0
Oginishiki,M6,4-11-0
Kotonowaka,M6,8-7-0
Aogiyama,M7,6-9-0
Asanosho,M7,8-7-0
Mitoizumi,M8,7-8-0
Terao,M8,8-7-0
Hamanoshima,M9,6-9-0
Minatofuji,M9,6-9-0
Daihisho,M10,6-9-0
Tochiazuma,M10,9-6-0
Daishi,M11,8-7-0
Kotoryu,M11,10-5-0
Ganyu,M12,8-7-0
Kotoinazuma,M12,8-7-0
Konishiki,M13,8-7-0
Rikio,M13,8-7-0
Daishoho,M14,2-2-11
Yamato,M14,8-7-0
Shikishima,M15,9-6-0
Misugisato,M15,8-7-0
Kotobeppu,M16,5-10-0
