Tournament,1997 Haru basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,12-3-0*
Akebono,Y,12-3-0
Wakanohana,O,3-1-11
Musashimaru,O,12-3-0
Takanonami,O,11-4-0
Musoyama,S,7-8-0
Takatoriki,S,7-8-0
Tosanoumi,K,8-7-0
Kyokushuzan,K,4-11-0
Kaio,M1,12-3-0
Kotonowaka,M1,2-10-3
Akinoshima,M2,7-8-0
Asanosho,M2,7-8-0
Terao,M3,2-12-1
Kotonishiki,M3,8-7-0
Kotoryu,M4,5-10-0
Tochiazuma,M4,6-9-0
Kenko,M5,4-11-0
Daishi,M5,5-10-0
Tamakasuga,M6,10-5-0
Ganyu,M6,7-8-0
Kitakachidoki,M7,6-9-0
Kotoinazuma,M7,7-8-0
Asahiyutaka,M8,6-9-0
Higonoumi,M8,7-8-0
Asanowaka,M9,8-7-0
Tochinowaka,M9,9-6-0
Mitoizumi,M10,8-7-0
Konishiki,M10,6-7-2
Aogiyama,M11,8-7-0
Shikishima,M11,8-7-0
Rikio,M12,6-9-0
Yamato,M12,7-8-0
Dejima,M13,11-4-0
Hamanoshima,M13,8-7-0
Minatofuji,M14,8-7-0
Misugisato,M14,4-11-0
Oginishiki,M15,11-4-0
Daihisho,M15,6-9-0
Gojoro,M16,8-7-0
