Tournament,1997 Natsu basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,13-2-0
Akebono,Y,13-2-0*
Musashimaru,O,9-6-0
Takanonami,O,10-5-0
Wakanohana,O,0-0-15
Kaio,S,7-5-3
Tosanoumi,S,10-5-0
Musoyama,K,6-9-0
Takatoriki,K,6-9-0
Tamakasuga,M1,8-7-0
Kotonishiki,M1,5-10-0
Tochinowaka,M2,5-10-0
Akinoshima,M2,7-8-0
Asanosho,M3,5-10-0
Dejima,M3,7-8-0
Asanowaka,M4,5-10-0
Kyokushuzan,M4,2-13-0
Mitoizumi,M5,4-11-0
Oginishiki,M5,11-4-0
Tochiazuma,M6,11-4-0
Aogiyama,M6,8-7-0
Ganyu,M7,7-8-0
Shikishima,M7,6-9-0
Kotoryu,M8,5-10-0
Kotoinazuma,M8,8-7-0
Daishi,M9,5-10-0
Higonoumi,M9,8-7-0
Hamanoshima,M10,6-9-0
Kotonowaka,M10,8-7-0
Kenko,M11,8-7-0
Kitakachidoki,M11,7-8-0
Minatofuji,M12,8-7-0
Asahiyutaka,M12,9-6-0
Terao,M13,0-0-15
Gojoro,M13,7-8-0
Konishiki,M14,8-7-0
Yamato,M14,7-8-0
Mainoumi,M15,9-6-0
Rikio,M15,8-7-0
Tochinonada,M16,9-6-0
