Tournament,2001 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Musashimaru,Y,13-2-0*
Takanohana,Y,0-0-15
Musoyama,O,9-6-0
Chiyotaikai,O,0-0-15
Kaio,O,10-5-0
Tochiazuma,S,12-3-0
Kotomitsuki,S,9-6-0
Miyabiyama,S,0-0-15
Asashoryu,K,10-5-0
Kaiho,K,5-10-0
Wakanosato,M1,10-5-0
Tamanoshima,M1,7-8-0
Takanowaka,M2,6-9-0
Tosanoumi,M2,5-10-0
Tokitsuumi,M3,2-13-0
Dejima,M3,7-8-0
Kotonowaka,M4,7-8-0
Tochinonada,M4,7-8-0
Kotoryu,M5,1-1-13
Kyokutenho,M5,8-7-0
Daizen,M6,6-9-0
Akinoshima,M6,8-7-0
Tamakasuga,M7,6-9-0
Toki,M7,8-7-0
Oginishiki,M8,5-10-0
Chiyotenzan,M8,8-7-0
Kyokushuzan,M9,10-5-0
Wakanoyama,M9,6-9-0
Takanonami,M10,9-6-0
Hayateumi,M10,8-2-5
Otsukasa,M11,8-7-0
Kitazakura,M11,5-10-0
Hamanishiki,M12,7-8-0
Tochisakae,M12,7-8-0
Aogiyama,M13,4-11-0
Higonoumi,M13,4-8-3
Kobo,M14,8-7-0
Aminishiki,M14,8-7-0
Tamarikido,M15,8-7-0
Buyuzan,M15,10-5-0
