Tournament,2001 Natsu basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,13-2-0*
Musashimaru,Y,13-2-0
Kaio,O,4-5-6
Musoyama,O,12-3-0
Dejima,O,5-10-0
Miyabiyama,O,9-6-0
Chiyotaikai,O,12-3-0
Tochinonada,S,4-11-0
Tochiazuma,S,9-6-0
Kotomitsuki,K,9-6-0
Asashoryu,K,8-7-0
Wakanosato,M1,8-7-0
Takanowaka,M1,5-10-0
Wakanoyama,M2,2-6-7
Chiyotenzan,M2,4-11-0
Tamanoshima,M3,5-10-0
Tosanoumi,M3,7-8-0
Tamakasuga,M4,6-9-0
Hayateumi,M4,9-6-0
Tochisakae,M5,7-8-0
Takanonami,M5,8-7-0
Kaiho,M6,6-9-0
Tokitsuumi,M6,4-11-0
Jumonji,M7,7-8-0
Kyokutenho,M7,6-9-0
Otsukasa,M8,8-7-0
Kotonowaka,M8,9-6-0
Terao,M9,2-13-0
Akinoshima,M9,8-7-0
Kotoryu,M10,0-0-15
Aminishiki,M10,7-8-0
Higonoumi,M11,11-4-0
Asanowaka,M11,7-8-0
Wakatsutomu,M12,7-8-0
Hamanishiki,M12,4-11-0
Toki,M13,11-4-0
Tochinohana,M13,9-6-0
Daizen,M14,8-7-0
Takatoriki,M14,5-10-0
Kyokushuzan,M15,11-4-0
