Tournament,2001 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,0-0-15
Musashimaru,Y,12-3-0
Chiyotaikai,O,11-4-0
Musoyama,O,10-5-0
Miyabiyama,O,7-8-0
Dejima,O,3-3-9
Kaio,O,13-2-0*
Tochiazuma,S,10-5-0
Kotomitsuki,S,6-9-0
Asashoryu,K,7-8-0
Wakanosato,K,9-6-0
Hayateumi,M1,4-11-0
Takanonami,M1,5-10-0
Kotonowaka,M2,8-7-0
Higonoumi,M2,3-12-0
Tochinonada,M3,6-9-0
Toki,M3,6-9-0
Tosanoumi,M4,8-7-0
Otsukasa,M4,4-11-0
Kyokushuzan,M5,7-8-0
Takanowaka,M5,9-6-0
Akinoshima,M6,4-11-0
Tochisakae,M6,4-5-6
Tamakasuga,M7,8-7-0
Tamanoshima,M7,12-3-0
Tochinohana,M8,7-8-0
Chiyotenzan,M8,6-9-0
Jumonji,M9,4-11-0
Kitazakura,M9,6-9-0
Kotoryu,M10,8-7-0
Kaiho,M10,9-6-0
Kyokutenho,M11,8-7-0
Daizen,M11,8-7-0
Wakanoyama,M12,0-0-15
Aminishiki,M12,7-8-0
Asanowaka,M13,5-10-0
Tokitsuumi,M13,11-4-0
Wakatsutomu,M14,7-8-0
Oginishiki,M14,9-6-0
Minatofuji,M15,5-10-0
