Tournament,2001 Aki basho results - Makuuchi Division
Name,Rank,Record
Musashimaru,Y,9-6-0
Takanohana,Y,0-0-15
Kaio,O,0-4-11
Chiyotaikai,O,4-5-6
Musoyama,O,10-5-0
Miyabiyama,O,3-7-5
Tochiazuma,S,12-3-0
Dejima,S,5-10-0
Wakanosato,K,7-8-0
Tamanoshima,K,7-8-0
Kotonowaka,M1,7-8-0
Asashoryu,M1,10-5-0
Kotomitsuki,M2,13-2-0*
Takanowaka,M2,8-7-0
Tosanoumi,M3,8-7-0
Tamakasuga,M3,5-10-0
Kaiho,M4,10-5-0
Tokitsuumi,M4,9-6-0
Takanonami,M5,5-10-0
Tochinonada,M5,8-7-0
Kyokushuzan,M6,6-9-0
Toki,M6,7-8-0
Hayateumi,M7,6-9-0
Kotoryu,M7,9-6-0
Kyokutenho,M8,9-6-0
Daizen,M8,9-6-0
Higonoumi,M9,5-10-0
Otsukasa,M9,7-8-0
Tochinohana,M10,0-4-11
Oginishiki,M10,8-7-0
Chiyotenzan,M11,8-7-0
Akinoshima,M11,9-6-0
Wakanoyama,M12,8-7-0
Tochisakae,M12,0-0-15
Kitazakura,M13,8-7-0
Aminishiki,M13,7-8-0
Takatoriki,M14,6-9-0
Hamanishiki,M14,8-7-0
Daishi,M15,5-10-0
Wakatsutomu,M15,3-12-0
