Tournament,2001 Haru basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,12-3-0
Musashimaru,Y,12-3-0
Kaio,O,13-2-0*
Musoyama,O,12-3-0
Miyabiyama,O,7-8-0
Dejima,O,8-7-0
Chiyotaikai,O,0-0-15
Wakanosato,S,6-9-0
Tochinonada,S,8-7-0
Tochiazuma,K,9-6-0
Wakanoyama,K,6-9-0
Kyokutenho,M1,3-12-0
Kotoryu,M1,1-6-8
Chiyotenzan,M2,7-8-0
Hayateumi,M2,6-9-0
Takanonami,M3,6-9-0
Kotomitsuki,M3,10-5-0
Tokitsuumi,M4,6-9-0
Takanowaka,M4,8-7-0
Akinoshima,M5,5-10-0
Kyokushuzan,M5,1-12-2
Asashoryu,M6,9-6-0
Kotonowaka,M6,6-9-0
Tamakasuga,M7,9-6-0
Tochisakae,M7,8-7-0
Tosanoumi,M8,10-5-0
Higonoumi,M8,6-9-0
Kaiho,M9,8-7-0
Takatoriki,M9,5-10-0
Tamanoshima,M10,11-4-0
Asanowaka,M10,7-8-0
Hamanoshima,M11,5-10-0
Tochinohana,M11,6-9-0
Otsukasa,M12,8-7-0
Terao,M12,8-7-0
Kinkaiyama,M13,3-5-7
Jumonji,M13,9-6-0
Minatofuji,M14,6-9-0
Daishi,M14,4-11-0
Aminishiki,M15,8-7-0
