Tournament,2001 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,0-0-15
Musashimaru,Y,14-1-0
Takanohana,Y,14-1-0*
Kaio,O,10-5-0
Chiyotaikai,O,2-2-11
Dejima,O,7-8-0
Miyabiyama,O,8-7-0
Musoyama,O,9-6-0
Wakanosato,S,10-5-0
Kotomitsuki,S,4-11-0
Takanowaka,K,4-11-0
Tochinonada,K,9-6-0
Takanonami,M1,6-9-0
Tochisakae,M1,4-11-0
Kotonowaka,M2,5-10-0
Hayateumi,M2,0-0-15
Wakanoyama,M3,9-6-0
Kaiho,M3,4-11-0
Akinoshima,M4,7-8-0
Tochiazuma,M4,10-5-0
Tosanoumi,M5,6-9-0
Tamakasuga,M5,7-8-0
Tochinohana,M6,4-11-0
Chiyotenzan,M6,8-7-0
Higonoumi,M7,7-8-0
Kotoryu,M7,9-6-0
Kyokutenho,M8,10-5-0
Toki,M8,0-0-15
Hamanoshima,M9,6-9-0
Tokitsuumi,M9,8-7-0
Kyokushuzan,M10,8-7-0
Oginishiki,M10,0-3-13
Kinkaiyama,M11,6-9-0
Minatofuji,M11,6-9-0
Takatoriki,M12,8-7-0
Asashoryu,M12,9-6-0
Otsukasa,M13,7-8-0
Tamarikido,M13,6-9-0
Asanowaka,M14,8-7-0
Wakakosho,M14,6-9-0
