Tournament,1995 Aki basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,15-0-0*
Akebono,Y,12-3-0
Musashimaru,O,10-5-0
Wakanohana,O,10-5-0
Takanonami,O,8-7-0
Musoyama,S,8-7-0
Kaio,S,11-4-0
Kotonowaka,K,4-11-0
Kenko,K,6-9-0
Kotonishiki,K,10-5-0
Takatoriki,M1,8-7-0
Kotoinazuma,M1,9-6-0
Minatofuji,M2,5-10-0
Hamanoshima,M2,3-12-0
Higonoumi,M3,4-11-0
Asanowaka,M3,4-11-0
Wakashoyo,M4,7-8-0
Misugisato,M4,6-9-0
Konishiki,M5,5-10-0
Kirishima,M5,4-11-0
Oginishiki,M6,5-10-0
Kotobeppu,M6,6-9-0
Asahiyutaka,M7,7-8-0
Akinoshima,M7,0-0-15
Tosanoumi,M8,11-4-0
Tochinowaka,M8,8-7-0
Mitoizumi,M9,8-7-0
Terao,M9,8-7-0
Daishi,M10,8-7-0
Daishoho,M10,6-9-0
Naminohana,M11,8-7-0
Mainoumi,M11,8-7-0
Kitakachidoki,M12,8-7-0
Takamisugi,M12,2-13-0
Asanosho,M13,8-7-0
Kasugafuji,M13,8-7-0
Kyokudozan,M14,9-6-0
Kiraiho,M14,8-7-0
Tokitsunada,M15,6-9-0
Tomonohana,M15,9-6-0
