Tournament,1995 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,12-3-0
Akebono,Y,7-3-5
Musashimaru,O,10-5-0
Wakanohana,O,12-3-0*
Takanonami,O,9-6-0
Kaio,S,9-6-0
Musoyama,S,7-8-0
Kotonishiki,S,8-7-0
Kotoinazuma,K,6-9-0
Takatoriki,K,7-8-0
Kenko,M1,5-10-0
Tosanoumi,M1,9-6-0
Tochinowaka,M2,5-10-0
Mitoizumi,M2,8-7-0
Terao,M3,5-10-0
Kotonowaka,M3,8-7-0
Daishi,M4,3-12-0
Wakashoyo,M4,5-9-1
Naminohana,M5,6-9-0
Minatofuji,M5,8-7-0
Misugisato,M6,9-6-0
Mainoumi,M6,4-11-0
Kyokudozan,M7,4-11-0
Akinoshima,M7,8-7-0
Asahiyutaka,M8,8-7-0
Higonoumi,M8,6-9-0
Kotobeppu,M9,8-7-0
Asanowaka,M9,7-8-0
Kitakachidoki,M10,8-7-0
Konishiki,M10,8-7-0
Tomonohana,M11,7-8-0
Hamanoshima,M11,8-7-0
Asanosho,M12,9-6-0
Kasugafuji,M12,8-7-0
Oginishiki,M13,8-7-0
Kiraiho,M13,3-12-0
Kirishima,M14,8-7-0
Daishoho,M14,10-5-0
Oginohana,M15,9-6-0
Aogiyama,M15,9-6-0
