Tournament,1995 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,13-2-0*
Akebono,Y,12-3-0
Takanonami,O,11-4-0
Musashimaru,O,13-2-0
Wakanohana,O,12-3-0
Kaio,S,8-7-0
Kotonishiki,S,4-5-6
Akinoshima,K,11-4-0
Musoyama,K,4-3-8
Kotonowaka,M1,5-10-0
Takatoriki,M1,7-8-0
Tochinowaka,M2,4-11-0
Terao,M2,5-10-0
Hamanoshima,M3,4-11-0
Mainoumi,M3,4-11-0
Kenko,M4,5-10-0
Kushimaumi,M4,3-12-0
Kotoinazuma,M5,5-10-0
Tomonohana,M5,6-9-0
Daizen,M6,2-13-0
Kirishima,M6,4-11-0
Naminohana,M7,9-6-0
Kitakachidoki,M7,7-8-0
Misugisato,M8,8-7-0
Konishiki,M8,8-7-0
Kasugafuji,M9,7-8-0
Kotobeppu,M9,9-6-0
Daishi,M10,8-7-0
Asanowaka,M10,9-6-0
Kiraiho,M11,7-8-0
Daishoho,M11,11-4-0
Kyokudozan,M12,8-7-0
Oginishiki,M12,9-6-0
Mitoizumi,M13,7-8-0
Higonoumi,M13,8-7-0
Minatofuji,M14,8-7-0
Tokitsunada,M14,7-8-0
Wakashoyo,M15,8-7-0
Takamisugi,M15,8-7-0
Kotogaume,M16,5-10-0
