Tournament,1995 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,13-2-0*
Akebono,Y,11-4-0
Musashimaru,O,12-3-0
Wakanohana,O,11-4-0
Takanonami,O,9-6-0
Kaio,S,9-6-0
Musoyama,S,10-5-0
Akinoshima,K,1-2-12
Kotonowaka,K,9-6-0
Kotonishiki,M1,8-7-0
Misugisato,M1,5-10-0
Tochinowaka,M2,3-12-0
Kotobeppu,M2,4-11-0
Higonoumi,M3,0-0-15
Takatoriki,M3,9-6-0
Kenko,M4,11-4-0
Naminohana,M4,4-11-0
Kitakachidoki,M5,4-11-0
Terao,M5,5-10-0
Mainoumi,M6,5-10-0
Tokitsunada,M6,3-12-0
Daishoho,M7,6-9-0
Tosanoumi,M7,7-8-0
Asanosho,M8,5-10-0
Kyokudozan,M8,5-10-0
Takamisugi,M9,6-9-0
Kotoinazuma,M9,8-7-0
Minatofuji,M10,8-7-0
Asanowaka,M10,8-7-0
Kiraiho,M11,6-0-0
Kasugafuji,M11,7-8-0
Kirishima,M12,8-7-0
Hamanoshima,M12,9-6-0
Mitoizumi,M13,8-7-0
Konishiki,M13,9-6-0
Daishi,M14,8-7-0
Oginishiki,M14,9-6-0
Wakashoyo,M15,11-4-0
Asahiyutaka,M15,9-6-0
Tomonohana,M16,0-0-15
