Tournament,1995 Natsu basho results - Makuuchi Division
Name,Rank,Record
Akebono,Y,13-2-0
Takanohana,Y,14-1-0*
Musashimaru,O,12-3-0
Wakanohana,O,9-6-0
Takanonami,O,6-9-0
Akinoshima,S,7-8-0
Kaio,S,9-6-0
Takatoriki,K,5-10-0
Kenko,K,5-10-0
Terao,M1,5-10-0
Higonoumi,M1,6-7-2
Naminohana,M2,6-9-0
Takamisugi,M2,4-11-0
Daishoho,M3,5-10-0
Kotonishiki,M3,8-7-0
Wakashoyo,M4,3-12-0
Musoyama,M4,11-4-0
Kotonowaka,M5,9-6-0
Asanowaka,M5,5-10-0
Misugisato,M6,8-7-0
Minatofuji,M6,6-9-0
Mitoizumi,M7,5-10-0
Konishiki,M7,5-10-0
Kirishima,M8,6-9-0
Tochinowaka,M8,8-7-0
Kiraiho,M9,7-8-0
Kotobeppu,M9,8-7-0
Asahiyutaka,M10,6-9-0
Hamanoshima,M10,7-8-0
Asanosho,M11,8-7-0
Kyokudozan,M11,8-7-0
Kitakachidoki,M12,9-6-0
Mainoumi,M12,9-6-0
Tokitsunada,M13,9-6-0
Tomonohana,M13,7-8-0
Kotoinazuma,M14,9-6-0
Kasugafuji,M14,8-7-0
Daishi,M15,8-7-0
Oginishiki,M15,8-7-0
Shikishima,M16,7-8-0
