Tournament,1995 Haru basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,13-2-0
Akebono,Y,14-1-0*
Musashimaru,O,12-3-0
Wakanohana,O,12-3-0
Takanonami,O,9-6-0
Kaio,S,8-7-0
Akinoshima,S,11-4-0
Naminohana,K,6-9-0
Daishoho,K,5-10-0
Kotobeppu,M1,3-12-0
Misugisato,M1,5-10-0
Takatoriki,M2,8-7-0
Asanowaka,M2,6-9-0
Konishiki,M3,5-10-0
Kotonishiki,M3,0-0-15
Kotonowaka,M4,7-8-0
Musoyama,M4,0-0-15
Daishi,M5,3-12-0
Oginishiki,M5,3-12-0
Terao,M6,8-7-0
Tochinowaka,M6,6-9-0
Tomonohana,M7,5-10-0
Kenko,M7,10-5-0
Hamanoshima,M8,6-9-0
Kyokudozan,M8,6-9-0
Mainoumi,M9,6-9-0
Kotoinazuma,M9,6-9-0
Kitakachidoki,M10,7-8-0
Higonoumi,M10,10-5-0
Minatofuji,M11,8-7-0
Kasugafuji,M11,7-8-0
Kushimaumi,M12,4-11-0
Wakashoyo,M12,9-6-0
Kirishima,M13,8-7-0
Kiraiho,M13,8-7-0
Takamisugi,M14,10-5-0
Daizen,M14,6-9-0
Asahiyutaka,M15,8-7-0
Mitoizumi,M15,9-6-0
Asanosho,M16,8-7-0
