Tournament,2003 Aki basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,13-2-0*
Musashimaru,Y,0-0-15
Kaio,O,7-8-0
Chiyotaikai,O,11-4-0
Musoyama,O,1-5-9
Tochiazuma,O,10-5-0
Wakanosato,S,11-4-0
Miyabiyama,S,4-11-0
Toki,K,7-8-0
Tosanoumi,K,7-8-0
Takamisakari,M1,9-6-0
Tochinonada,M1,8-7-0
Kyokutenho,M2,10-5-0
Hokutoriki,M2,4-11-0
Kotoryu,M3,4-11-0
Tokitsuumi,M3,5-10-0
Asasekiryu,M4,7-8-0
Takanonami,M4,7-8-0
Iwakiyama,M5,11-4-0
Kasuganishiki,M5,5-10-0
Kotomitsuki,M6,11-4-0
Tochisakae,M6,5-10-0
Buyuzan,M7,7-8-0
Tamanoshima,M7,9-6-0
Kyokushuzan,M8,8-7-0
Jumonji,M8,7-8-0
Kinkaiyama,M9,8-7-0
Aminishiki,M9,10-5-0
Dejima,M10,6-9-0
Kaiho,M10,5-10-0
Kakizoe,M11,8-7-0
Tamarikido,M11,6-9-0
Kotonowaka,M12,0-0-15
Shimotori,M12,8-7-0
Wakatoba,M13,8-7-0
Yotsukasa,M13,7-8-0
Asanowaka,M14,6-9-0
Wakanoyama,M14,7-8-0
Otsukasa,M15,8-7-0
Ushiomaru,M15,6-9-0
