Tournament,2003 Natsu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,13-2-0*
Musashimaru,Y,0-0-15
Chiyotaikai,O,10-5-0
Kaio,O,11-4-0
Musoyama,O,8-7-0
Tochiazuma,O,8-7-0
Wakanosato,S,9-6-0
Dejima,S,7-8-0
Tosanoumi,K,4-11-0
Kyokutenho,K,10-5-0
Tochinonada,M1,8-7-0
Takamisakari,M1,6-9-0
Kotomitsuki,M2,0-5-10
Takanonami,M2,7-8-0
Kyokushuzan,M3,8-7-0
Tamanoshima,M3,7-8-0
Kaiho,M4,5-10-0
Kotonowaka,M4,8-7-0
Miyabiyama,M5,10-5-0
Hokutoriki,M5,6-9-0
Kasugao,M6,4-11-0
Takanowaka,M6,0-2-13
Tokitsuumi,M7,0-0-15
Aminishiki,M7,11-4-0
Tamarikido,M8,7-8-0
Gojoro,M8,7-8-0
Jumonji,M9,8-7-0
Iwakiyama,M9,7-8-0
Kotoryu,M10,9-6-0
Wakanoyama,M10,6-9-0
Toki,M11,10-5-0
Shimotori,M11,4-11-0
Buyuzan,M12,9-6-0
Aogiyama,M12,7-8-0
Yotsukasa,M13,6-9-0
Asasekiryu,M13,8-7-0
Takanotsuru,M14,0-11-4
Otsukasa,M14,8-7-0
Asanowaka,M15,8-7-0
Akinoshima,M15,6-9-0
