Tournament,2003 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,12-3-0
Musashimaru,Y,3-5-0
Chiyotaikai,O,10-5-0
Tochiazuma,O,13-2-0*
Kaio,O,10-5-0
Musoyama,O,9-6-0
Wakanosato,S,7-8-0
Kyokutenho,S,4-11-0
Takamisakari,K,5-10-0
Iwakiyama,K,6-9-0
Tochinonada,M1,8-7-0
Kotomitsuki,M1,6-9-0
Toki,M2,9-6-0
Tosanoumi,M2,10-5-0
Aminishiki,M3,5-10-0
Tamanoshima,M3,10-5-0
Miyabiyama,M4,6-9-0
Asasekiryu,M4,3-12-0
Takanonami,M5,5-10-0
Kyokushuzan,M5,8-7-0
Kinkaiyama,M6,6-9-0
Tokitsuumi,M6,8-7-0
Hokutoriki,M7,10-5-0
Kotoryu,M7,7-8-0
Buyuzan,M8,4-11-0
Kakizoe,M8,8-7-0
Kasuganishiki,M9,8-7-0
Shimotori,M9,8-7-0
Jumonji,M10,8-7-0
Tochisakae,M10,7-8-0
Wakatoba,M11,7-8-0
Takekaze,M11,9-6-0
Kotonowaka,M12,7-3-5
Takanowaka,M12,7-8-0
Tamakasuga,M13,6-9-0
Otsukasa,M13,5-10-0
Toyozakura,M14,6-9-0
Dejima,M14,11-4-0
Tamarikido,M15,2-6-7
Yotsukasa,M15,9-6-0
