Tournament,2003 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Musashimaru,Y,0-0-15
Takanohana,Y,4-4-1
Asashoryu,O,14-1-0*
Musoyama,O,8-7-0
Tochiazuma,O,0-6-9
Chiyotaikai,O,0-0-15
Kaio,O,0-0-15
Takanowaka,S,9-6-0
Kotomitsuki,S,9-6-0
Takanonami,K,7-8-0
Wakanosato,K,11-4-0
Tosanoumi,M1,8-7-0
Miyabiyama,M1,1-3-11
Kyokutenho,M2,8-7-0
Toki,M2,4-11-0
Kotonowaka,M3,7-8-0
Dejima,M3,11-4-0
Aminishiki,M4,4-11-0
Tokitsuumi,M4,5-10-0
Kaiho,M5,7-8-0
Iwakiyama,M5,7-8-0
Hokutoriki,M6,4-11-0
Kyokushuzan,M6,7-8-0
Wakanoyama,M7,8-7-0
Shimotori,M7,9-6-0
Tamanoshima,M8,8-7-0
Kotoryu,M8,8-7-0
Takamisakari,M9,10-5-0
Akinoshima,M9,6-9-0
Tochinonada,M10,11-4-0
Gojoro,M10,5-10-0
Jumonji,M11,5-10-0
Kasuganishiki,M11,7-8-0
Tamakasuga,M12,0-5-10
Takanotsuru,M12,9-6-0
Otsukasa,M13,4-11-0
Kasugao,M13,10-5-0
Kobo,M14,5-10-0
Tochinohana,M14,7-8-0
Tamarikido,M15,8-7-0
