Tournament,2003 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,5-5-5
Musashimaru,Y,2-4-9
Kaio,O,12-3-0*
Chiyotaikai,O,11-4-0
Musoyama,O,10-5-0
Tochiazuma,O,7-8-0
Wakanosato,S,10-5-0
Kyokutenho,S,6-9-0
Dejima,K,0-0-15
Tochinonada,K,7-8-0
Miyabiyama,M1,10-5-0
Aminishiki,M1,2-12-1
Kyokushuzan,M2,4-11-0
Kotonowaka,M2,1-2-12
Takanonami,M3,6-9-0
Takamisakari,M3,9-6-0
Tamanoshima,M4,5-10-0
Toki,M4,10-5-0
Tosanoumi,M5,10-5-0
Kotoryu,M5,8-7-0
Jumonji,M6,6-9-0
Buyuzan,M6,7-8-0
Tokitsuumi,M7,9-6-0
Hokutoriki,M7,10-5-0
Kaiho,M8,6-9-0
Tamarikido,M8,6-9-0
Gojoro,M9,4-4-7
Asasekiryu,M9,10-5-0
Iwakiyama,M10,9-6-0
Otsukasa,M10,5-10-0
Asanowaka,M11,6-9-0
Tochisakae,M11,8-7-0
Kasuganishiki,M12,9-6-0
Kasugao,M12,4-11-0
Kotomitsuki,M13,9-6-0
Wakanoyama,M13,7-8-0
Ushiomaru,M14,7-8-0
Aogiyama,M14,4-11-0
Tamakasuga,M15,7-8-0
Kinkaiyama,M15,9-6-0
