Tournament,2003 Haru basho results - Makuuchi Division
Name,Rank,Record
Musashimaru,Y,0-0-15
Asashoryu,Y,10-5-0
Musoyama,O,1-6-8
Tochiazuma,O,0-0-15
Chiyotaikai,O,12-3-0*
Kaio,O,10-5-0
Takanowaka,S,0-0-15
Kotomitsuki,S,6-9-0
Wakanosato,S,9-6-0
Dejima,K,8-7-0
Tosanoumi,K,8-7-0
Takanonami,M1,7-8-0
Kyokutenho,M1,9-6-0
Tochinonada,M2,9-6-0
Takamisakari,M2,8-7-0
Shimotori,M3,3-7-5
Kotonowaka,M3,7-8-0
Wakanoyama,M4,4-11-0
Tamanoshima,M4,8-7-0
Kotoryu,M5,5-10-0
Kaiho,M5,8-7-0
Iwakiyama,M6,6-5-4
Toki,M6,5-10-0
Kasugao,M7,8-7-0
Kyokushuzan,M7,10-5-0
Tokitsuumi,M8,8-5-2
Takanotsuru,M8,4-11-0
Aminishiki,M9,8-7-0
Miyabiyama,M9,9-6-0
Asasekiryu,M10,6-9-0
Buyuzan,M10,7-8-0
Hokutoriki,M11,10-5-0
Tamarikido,M11,8-7-0
Kinkaiyama,M12,5-10-0
Akinoshima,M12,6-9-0
Kasuganishiki,M13,6-9-0
Takekaze,M13,1-4-11
Gojoro,M14,9-6-0
Jumonji,M14,9-6-0
Tochinohana,M15,5-10-0
