Tournament,2006 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,15-0-0*
Chiyotaikai,O,9-6-0
Kotooshu,O,10-5-0
Tochiazuma,O,10-5-0
Hakuho,O,0-0-15
Kaio,O,10-5-0
Miyabiyama,S,8-7-0
Kotomitsuki,S,9-6-0
Kisenosato,K,8-7-0
Kokkai,K,3-12-0
Aminishiki,K,6-9-0
Roho,K,8-7-0
Ama,M1,6-9-0
Iwakiyama,M1,2-13-0
Kotoshogiku,M2,10-5-0
Futen'o,M2,5-10-0
Tokitenku,M3,9-6-0
Dejima,M3,10-5-0
Takekaze,M4,6-9-0
Kakizoe,M4,6-9-0
Hokutoriki,M5,0-9-6
Tochinonada,M5,7-8-0
Kyokutenho,M6,10-5-0
Baruto,M6,10-5-0
Tamanoshima,M7,2-9-4
Kasugao,M7,8-7-0
Toyozakura,M8,5-10-0
Kakuryu,M8,8-7-0
Takamisakari,M9,10-5-0
Asasekiryu,M9,10-5-0
Kyokushuzan,M10,0-2-0
Toyonoshima,M10,8-7-0
Homasho,M11,12-3-0
Kitazakura,M11,4-11-0
Ushiomaru,M12,5-10-0
Tosanoumi,M12,5-10-0
Asofuji,M13,6-9-0
Tochinohana,M13,8-7-0
Tamakasuga,M14,9-6-0
Hakurozan,M14,7-8-0
Otsukasa,M15,7-8-0
Katayama,M15,6-9-0
