Tournament,2006 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,14-1-0*
Hakuho,O,13-2-0
Chiyotaikai,O,9-6-0
Kaio,O,9-6-0
Kotooshu,O,8-7-0
Tochiazuma,O,8-7-0
Miyabiyama,S,10-5-0
Kotomitsuki,S,8-7-0
Asasekiryu,K,1-2-12
Kisenosato,K,8-7-0
Kotoshogiku,M1,3-12-0
Kyokushuzan,M1,3-12-0
Hakurozan,M2,2-13-0
Kyokutenho,M2,6-9-0
Roho,M3,8-5-2
Kakizoe,M3,4-11-0
Ama,M4,6-9-0
Baruto,M4,9-6-0
Futen'o,M5,6-9-0
Kokkai,M5,10-5-0
Wakanosato,M6,3-2-10
Dejima,M6,8-7-0
Hokutoriki,M7,4-11-0
Aminishiki,M7,8-7-0
Tokitenku,M8,10-5-0
Takamisakari,M8,7-8-0
Yoshikaze,M9,6-9-0
Tosanoumi,M9,6-9-0
Tamanoshima,M10,11-4-0
Iwakiyama,M10,9-6-0
Toyonoshima,M11,9-6-0
Kasugao,M11,5-10-0
Tochinonada,M12,10-5-0
Tamakasuga,M12,11-4-0
Jumonji,M13,8-7-0
Takekaze,M13,9-6-0
Homasho,M14,9-6-0
Toyozakura,M14,5-10-0
Tochinohana,M15,8-7-0
Buyuzan,M15,4-11-0
Kitazakura,M16,5-10-0
Daimanazuru,M16,2-13-0
