Tournament,2006 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,11-4-0
Chiyotaikai,O,4-4-7
Kaio,O,3-6-6
Tochiazuma,O,14-1-0*
Kotooshu,O,10-5-0
Kotomitsuki,S,8-7-0
Hakuho,S,13-2-0
Kyokutenho,K,4-11-0
Tamanoshima,K,7-8-0
Miyabiyama,M1,8-7-0
Tokitenku,M1,5-10-0
Roho,M2,9-6-0
Kokkai,M2,8-7-0
Takekaze,M3,4-11-0
Tochinohana,M3,4-11-0
Hakurozan,M4,4-11-0
Asasekiryu,M4,5-10-0
Iwakiyama,M5,8-7-0
Kasuganishiki,M5,4-11-0
Ama,M6,9-6-0
Dejima,M6,8-7-0
Aminishiki,M7,9-6-0
Kakizoe,M7,8-7-0
Jumonji,M8,7-8-0
Futen'o,M8,9-6-0
Kisenosato,M9,8-7-0
Toyonoshima,M9,7-8-0
Takamisakari,M10,7-8-0
Kotoshogiku,M10,8-7-0
Hokutoriki,M11,12-3-0
Kyokushuzan,M11,7-8-0
Kasugao,M12,9-6-0
Toyozakura,M12,7-8-0
Tochisakae,M13,4-10-1
Yoshikaze,M13,5-10-0
Tosanoumi,M14,5-10-0
Tokitsuumi,M14,12-3-0
Shunketsu,M15,4-11-0
Wakatoba,M15,4-11-0
Wakanosato,M16,10-5-0
Katayama,M16,6-9-0
Kitazakura,M17,9-6-0
