Tournament,2006 Natsu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,1-2-12
Tochiazuma,O,2-5-8
Kotooshu,O,8-7-0
Chiyotaikai,O,10-5-0
Kaio,O,9-6-0
Hakuho,O,14-1-0*
Kotomitsuki,S,8-7-0
Miyabiyama,S,14-1-0
Kyokutenho,K,5-10-0
Ama,K,4-11-0
Kisenosato,M1,8-7-0
Kakizoe,M1,6-9-0
Asasekiryu,M2,10-5-0
Wakanosato,M2,6-9-0
Kotoshogiku,M3,9-6-0
Aminishiki,M3,5-10-0
Tokitenku,M4,5-10-0
Takekaze,M4,2-13-0
Kyokushuzan,M5,9-6-0
Roho,M5,8-7-0
Tamanoshima,M6,6-9-0
Kokkai,M6,8-7-0
Futen'o,M7,9-6-0
Dejima,M7,8-7-0
Kasugao,M8,6-9-0
Hakurozan,M8,10-5-0
Iwakiyama,M9,7-8-0
Tochinonada,M9,6-9-0
Tamakasuga,M10,6-9-0
Tochinohana,M10,5-10-0
Homasho,M11,6-9-0
Baruto,M11,11-4-0
Takamisakari,M12,8-7-0
Tosanoumi,M12,8-7-0
Toyonoshima,M13,8-7-0
Hokutoriki,M13,10-5-0
Katayama,M14,5-10-0
Yoshikaze,M14,9-6-0
Buyuzan,M15,7-8-0
Kitazakura,M15,7-8-0
Tokitsuumi,M16,2-9-4
Jumonji,M16,8-7-0
