Tournament,2006 Aki basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,13-2-0*
Hakuho,O,8-7-0
Chiyotaikai,O,10-5-0
Kaio,O,1-6-8
Kotooshu,O,10-5-0
Tochiazuma,O,9-6-0
Miyabiyama,S,9-6-0
Kotomitsuki,S,8-7-0
Kisenosato,K,8-7-0
Kokkai,K,8-7-0
Baruto,M1,4-7-4
Roho,M1,10-5-0
Tamanoshima,M2,4-1-0
Tokitenku,M2,7-8-0
Dejima,M3,7-8-0
Aminishiki,M3,11-4-0
Tamakasuga,M4,1-14-0
Kyokutenho,M4,6-9-0
Tochinonada,M5,7-8-0
Iwakiyama,M5,10-5-0
Ama,M6,11-4-0
Toyonoshima,M6,4-1-0
Futen'o,M7,9-6-0
Kotoshogiku,M7,10-5-0
Kyokushuzan,M8,6-9-0
Kakizoe,M8,9-6-0
Takamisakari,M9,7-8-0
Asasekiryu,M9,7-8-0
Takekaze,M10,10-5-0
Hakurozan,M10,5-10-0
Homasho,M11,7-8-0
Jumonji,M11,4-11-0
Yoshikaze,M12,5-10-0
Tosanoumi,M12,7-8-0
Hokutoriki,M13,10-5-0
Tochinohana,M13,7-8-0
Wakanosato,M14,0-0-15
Hochiyama,M14,5-10-0
Kasuganishiki,M15,6-9-0
Kasugao,M15,8-7-0
Ryuho,M16,4-11-0
Shimotori,M16,7-8-0
