Tournament,2006 Haru basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,13-2-0*
Tochiazuma,O,12-3-0
Kotooshu,O,9-6-0
Chiyotaikai,O,9-6-0
Kaio,O,8-7-0
Hakuho,S,13-2-0
Kotomitsuki,S,8-7-0
Roho,K,4-11-0
Miyabiyama,K,10-5-0
Tamanoshima,M1,5-10-0
Kokkai,M1,5-10-0
Ama,M2,8-7-0
Hokutoriki,M2,1-14-0
Aminishiki,M3,7-8-0
Iwakiyama,M3,4-11-0
Futen'o,M4,6-9-0
Dejima,M4,6-9-0
Kyokutenho,M5,11-4-0
Tokitsuumi,M5,2-13-0
Kakizoe,M6,9-6-0
Tokitenku,M6,8-7-0
Kisenosato,M7,10-5-0
Kasugao,M7,7-8-0
Kotoshogiku,M8,9-6-0
Asasekiryu,M8,10-5-0
Jumonji,M9,4-11-0
Takekaze,M9,9-6-0
Tochinohana,M10,7-8-0
Toyonoshima,M10,6-9-0
Wakanosato,M11,11-4-0
Takamisakari,M11,7-8-0
Hakurozan,M12,9-6-0
Tochinonada,M12,8-7-0
Kyokushuzan,M13,11-4-0
Kasuganishiki,M13,5-10-0
Toyozakura,M14,4-11-0
Kitazakura,M14,7-8-0
Tamakasuga,M15,9-6-0
Otsukasa,M15,4-11-0
Ushiomaru,M16,4-11-0
Yoshikaze,M16,8-7-0
Buyuzan,M17,8-7-0
